Time (s),ROI.01 [],ROI.02 [],ROI.03 [],ROI.04 [],ROI.05 [],ROI.06 [],ROI.07 [],ROI.08 [],ROI.09 [],ROI.10 [],ROI.11 [],ROI.12 [],ROI.13 [],ROI.14 [],ROI.15 [],ROI.16 [],ROI.17 [],ROI.18 [],ROI.19 [],ROI.20 [],ROI.21 [],ROI.22 [],ROI.23 [],ROI.000 [],ROI.24 [],ROI.25 []
0.258,0.13884629090907022,0.1104112966929124,0.15098985713667437,-0.04264660913915042,0.02912190040913712,0.1596165191853895,0.1429765519159554,0.12785341574095657,0.0639884694767375,0.07555802742607617,0.034944131034601165,0.030656201316689644,0.06738048820724073,0.011343191566195726,0.013699994039294835,0.010768060931054401,0.05474045632191735,0.04470405962135406,0.1283197139656281,0.03219236660103241,0.047494018941832666,0.08180536722817298,0.1382190509718571,0.0,0.09196357726591183,0.022572585661490722
0.778,0.1275547927092972,0.09349670960269073,0.13866571542449332,0.0022545930992160113,0.01445641945554639,0.1459777243854648,0.14999323911718418,0.14032082339005988,0.06299763417225471,0.0655594620667065,0.023479569701419067,0.019303076145941695,0.06542874965911921,0.010109467853114014,0.009173950729955391,0.00908689506177472,0.04383013621424761,0.026128022650410726,0.05495330236943032,0.024004800118334238,0.03780519898052592,0.06856712541968467,0.11027330974361116,0.0,0.07428342430429759,0.0179593910022984
1.281,0.12514925367603794,0.08774756164502998,0.1302404989280377,0.015914469274336627,0.025867278711604862,0.14778466275297136,0.1525401727654971,0.15808075454495377,0.0560451989157179,0.06188724257068752,0.023968301745425018,0.03819746828744343,0.09460775577411862,0.006129100440448966,0.005882913178576192,0.005960171525879631,0.04277827568295125,0.03619568898944624,0.1315066204528625,0.027584503831065203,0.04249863781464067,0.07027589361384648,0.13065661561570127,0.0,0.062207531012231004,0.01950453988042579
1.788,0.12064447633860523,0.08356459828829542,0.14011028318658433,-0.0024027324322460023,0.008695163669050536,0.141370299645206,0.1434417991775698,0.161209081675709,0.052120663317285716,0.05543488219333282,0.02461329017441435,0.029301764689778013,0.05061071765692445,0.0051507916127477675,0.00542279841978927,0.007111409419743832,0.040730948738236496,0.036984967542376394,0.0786005976572751,0.02119621343422076,0.044220106871096156,0.06688012246108303,0.05627399976960262,0.0,0.0539854321324442,0.014333164669654725
2.276,0.11665528882228623,0.06832418631489694,0.13754788435468743,0.043912545157790424,0.019702993498362867,0.13706567764399674,0.1353870858592999,0.15671057876669278,0.04993403418990975,0.050761446718561525,0.018209555957028018,0.025633933185810708,0.06268016993178625,0.010302387948027934,0.005303784980233853,0.004593990045082086,0.03576137020064893,0.02366066797915437,0.07713865063410014,0.023649874303793398,0.04126161161048018,0.06327932512546731,0.13494078118540134,0.0,0.05236243720815948,0.014370691600444426
2.776,0.10731988438618188,0.06464303372205053,0.12270177910215072,0.00583599946865813,0.010856348388956903,0.0971334617826937,0.10503266247011726,0.07864065499516265,0.05116033274624189,0.04368300528078677,0.016825004735583994,0.032510824780665006,0.04197484730670819,0.00254094611440283,0.005514879828632607,9.200210761753312e-05,0.02637195349844778,0.023627760529999455,0.05878340792795224,0.017727616693591255,0.03695356807080161,0.054123381828811615,0.05281809303673193,0.0,0.04269340589415662,0.011155192336679448
3.293,0.10012972218783313,0.06318878692128146,0.11085533619818541,0.02204734225405802,-0.0007822233258099119,0.09830273800428789,0.08811850036866839,0.06374949982850833,0.04615900187550643,0.04319061949104655,0.020978841076107445,0.03101712487276422,0.03584852949024995,0.005657390156142515,0.006452659476177294,-0.00028913428053316677,0.027207656711549358,0.021673525857114375,0.0784344947844591,0.015260554797180742,0.041671221700856846,0.060140889138521454,0.06360762742259134,0.0,0.03608850953380873,0.0110170656001645
3.777,0.09853629921482542,0.054453459073017026,0.10476436179337777,0.012941905012967072,0.021204173142399363,0.10154888300797184,0.10529350618961734,0.10447906375038635,0.04924850573002802,0.04492556052945377,0.019446092021468422,0.01556887002428935,0.04440133398536526,0.007469625081258797,0.006197343656566568,0.0013527866048020343,0.024476376130941564,0.014003442944381519,0.09730111055096768,0.013773727693661838,0.0358687045765308,0.05655519807088819,0.07448289771571588,0.0,0.027846571838002536,0.00952913966669355
4.275,0.08719104111698162,0.05341282976949504,0.08236951024750243,0.024688449338412556,0.014978588965254159,0.06916526924093414,0.07392447141089395,0.07618333334987591,0.03994731969966634,0.035545139581758166,0.013491860310181842,-0.0036302812417858877,0.021695901634149414,-0.0018015910318051013,0.001468420124524449,-0.0046565771529161,0.01817733952817892,0.008571810240061099,0.04586897038094241,0.010631828914488496,0.03997330174587182,0.04846535521139766,0.06746692966321705,0.0,0.013568032412775441,0.010518978155333328
4.786,0.0961881990144358,0.04760760725119301,0.09045253455275715,0.03825900423307855,0.027063001957518068,0.08535035564633063,0.12602187156282002,0.14143871044204565,0.04483091931675098,0.035966412928570876,0.01422570419814512,0.014759138917115012,0.030992290528781167,0.006754510120932718,0.0065486667009628,0.0043206089385252455,0.02449874734095321,-1.0641787377572398e-05,0.09346841094560064,0.01609008152501161,0.03565832679741416,0.05260708281766735,0.11902409967789936,0.0,0.022018541536954015,0.01050524482800982
5.278,0.08978966793132798,0.047744017296511974,0.087018240788353,0.023593030660689136,0.02524079442297342,0.10490064122903837,0.11893195463042792,0.12828267048900752,0.050996620365624766,0.0358721888344744,0.02568017918033566,0.018401508295840724,0.03568999481132661,0.011477331288265178,0.010476459722102257,0.013157425401261148,0.02674103898864293,0.022827864318285297,0.10069147994866932,0.017508244404605532,0.050273892760999944,0.051805355883577826,0.10716430851083075,0.0,0.023948523903214503,0.013823969617070268
