Time (s),ROI.01 [],ROI.02 [],ROI.03 [],ROI.04 [],ROI.05 [],ROI.06 [],ROI.07 [],ROI.08 [],ROI.09 [],ROI.10 [],ROI.11 [],ROI.12 [],ROI.13 [],ROI.14 [],ROI.15 [],ROI.16 []
0.257,0.0,0.5579643042665394,0.5564994558450747,0.11561356947576507,0.05524914582758817,0.022162347864105012,0.0853675388012138,0.020888258367003195,0.08708426054540915,0.023849511603308404,0.16943290767657468,0.002735248488947919,0.00209861911437383,0.02002313286858462,0.01624440958318495,0.024507229090669165
0.777,0.0,0.5665198328471146,0.6973971843819559,0.14549434074247167,0.04402229425044853,0.023042156544800185,0.06334036570680572,0.01851643026371251,0.07976804161644556,0.03888569723921107,0.16373612512946373,0.021583654014674093,0.03987633360796767,0.029446472347112018,0.025055246554455127,0.04594972785683238
1.278,0.0,0.34511721728060973,0.4668098622023357,0.11220509694368115,0.036316477656112935,0.010508626278880811,0.04529018040901285,0.024790795417126497,0.06448851907642185,0.03577319574459195,0.24101544346656845,0.017849755727962435,0.05213074867725245,0.04737357267003958,0.010274665699642721,0.01966882298181012
1.778,0.0,0.3071127422494126,0.3395087637494549,0.10747839382930988,0.029038754479633756,0.009601915019107218,0.03929704449205256,0.011649532867820427,0.05404245243583267,0.02640644177867632,0.1410884318494415,0.011469146109446195,0.025257039891785345,0.025221202766090006,0.01168145283267281,0.02925477066544152
2.294,0.0,0.37998817299280174,0.4109167968527461,0.0646952555502944,0.03906981290145306,0.0065648106249482484,0.0219745368291336,0.000937184063774147,0.061451504620728487,0.03763359530287566,0.15843088634274372,-0.006738901882894183,0.0011257165138699892,0.01639403946647078,0.006231127409424499,0.006737834005785657
2.778,0.0,0.3331274480236292,0.2403035693838801,0.06680083780228202,0.0205272514651249,0.006264602439242514,0.011854084518067761,0.010850703425006865,0.04878234407189385,0.029462112770564056,0.04383949704914738,0.019649434648366177,0.020763388656825674,0.015539506161062146,-0.0010749902477630937,0.04443298877363434
3.276,0.0,0.1213565443615157,0.3271179674485992,0.035869523447064275,0.01286195403742643,0.019269002739643874,0.018530505695612345,0.0010322808645588555,0.03144651171605875,0.006836894922527944,0.09078052162968797,0.02867595567927373,0.021610423862327532,0.047831796712591586,1.8159741086275287e-05,-0.0038013027091056265
3.787,0.0,0.38167153799338643,0.22879141329155384,0.060406247614118114,0.031245221286134467,0.02402806461116826,0.018748752717157282,0.018174582376271942,0.038313007461235546,0.021357620016900447,0.16259236460774,0.033844782523823,0.04407016178820695,0.018974544171020378,0.012227853816437184,0.035216827929375666
4.278,0.0,0.2967510223369468,0.34848638506088786,0.05590518825683719,0.028807678371400053,0.0055349154370216815,0.018318600487065507,0.004552469283783644,0.04227903670568048,0.03366178525619322,0.050883752039358854,0.009690007086382995,0.015442735980763896,0.003740546090047978,0.008008246581462061,0.021677169415099246
4.789,0.0,0.4254854747026699,0.7697896168787183,0.05662383058621512,0.03451878674435113,0.0021651177389993086,0.027903006232832976,0.021195325922856428,0.042086846278219917,0.04030142972007381,0.04308931186150883,0.009012097984618253,0.008046460520281268,0.043950264552986756,0.0030472082541053644,0.015239234572184665
