ROI,spike_time_s,latency_s,stim_window_start_s,stim_window_end_s,condition
ROI.01 [],110.785,30.785,80,100,blue4
ROI.01 [],184.277,54.27699999999999,130,150,blue4
ROI.06 [],110.785,30.785,80,100,blue4
ROI.06 [],152.778,22.77799999999999,130,150,blue4
ROI.06 [],184.277,54.27699999999999,130,150,blue4
ROI.07 [],187.776,57.77600000000001,130,150,blue4
ROI.11 [],183.778,53.77799999999999,130,150,blue4
ROI.02 [],125.782,45.782,80,100,red1
ROI.02 [],156.787,26.78700000000001,130,150,red1
ROI.04 [],68.779,38.779,30,50,red1
ROI.04 [],75.777,45.777,30,50,red1
ROI.04 [],123.776,43.776,80,100,red1
ROI.04 [],153.285,23.285,130,150,red1
ROI.08 [],75.278,45.278000000000006,30,50,red1
ROI.08 [],123.277,43.277,80,100,red1
ROI.08 [],154.276,24.27600000000001,130,150,red1
ROI.10 [],119.288,39.288,80,100,red1
ROI.10 [],162.277,32.27699999999999,130,150,red1
ROI.12 [],126.786,46.786,80,100,red1
ROI.04 [],77.777,47.777,30,50,red2
ROI.04 [],128.279,48.279,80,100,red2
ROI.04 [],150.778,20.77799999999999,130,150,red2
ROI.09 [],52.282,22.282,30,50,red2
ROI.09 [],79.284,49.284000000000006,30,50,red2
ROI.09 [],110.788,30.788,80,100,red2
ROI.09 [],129.778,49.77799999999999,80,100,red2
ROI.10 [],55.778,25.778,30,50,red2
ROI.10 [],61.787,31.787,30,50,red2
ROI.10 [],79.284,49.284000000000006,30,50,red2
ROI.10 [],108.289,28.289,80,100,red2
ROI.10 [],123.287,43.287000000000006,80,100,red2
ROI.10 [],156.786,26.786,130,150,red2
ROI.04 [],153.278,23.27799999999999,130,150,red3
ROI.09 [],128.788,48.78800000000001,80,100,red3
ROI.09 [],154.779,24.779,130,150,red3
ROI.12 [],153.777,23.776999999999987,130,150,red3
ROI.02 [],57.776,27.776000000000003,30,50,red4
ROI.02 [],106.278,26.27800000000001,80,100,red4
ROI.04 [],59.778,29.778,30,50,red4
ROI.04 [],75.277,45.277,30,50,red4
ROI.04 [],104.286,24.286,80,100,red4
ROI.04 [],122.778,42.778000000000006,80,100,red4
ROI.04 [],152.786,22.786,130,150,red4
ROI.05 [],101.778,21.77800000000001,80,100,red4
ROI.05 [],128.278,48.27799999999999,80,100,red4
ROI.05 [],156.286,26.286,130,150,red4
ROI.05 [],179.278,49.27799999999999,130,150,red4
ROI.03 [],57.776,27.776000000000003,30,50,red4
ROI.03 [],109.285,29.285,80,100,red4
ROI.03 [],128.778,48.77799999999999,80,100,red4
ROI.03 [],158.277,28.276999999999987,130,150,red4
ROI.07 [],62.277,32.277,30,50,red4
ROI.07 [],75.277,45.277,30,50,red4
ROI.07 [],106.777,26.777,80,100,red4
ROI.07 [],121.784,41.784000000000006,80,100,red4
ROI.08 [],53.277,23.277,30,50,red4
ROI.08 [],108.294,28.294,80,100,red4
ROI.08 [],125.778,45.778000000000006,80,100,red4
ROI.08 [],158.277,28.276999999999987,130,150,red4
ROI.09 [],51.788,21.788,30,50,red4
ROI.09 [],105.277,25.277,80,100,red4
ROI.09 [],122.285,42.285,80,100,red4
ROI.10 [],106.278,26.27800000000001,80,100,red4
ROI.10 [],125.778,45.778000000000006,80,100,red4
ROI.10 [],153.278,23.27799999999999,130,150,red4
ROI.12 [],59.778,29.778,30,50,red4
ROI.12 [],78.288,48.288,30,50,red4
ROI.12 [],127.777,47.777,80,100,red4
ROI.13 [],57.776,27.776000000000003,30,50,red4
ROI.13 [],109.285,29.285,80,100,red4
ROI.13 [],128.778,48.77799999999999,80,100,red4
ROI.13 [],158.277,28.276999999999987,130,150,red4
ROI.14 [],54.782,24.782,30,50,red4
ROI.14 [],101.778,21.77800000000001,80,100,red4
ROI.14 [],129.778,49.77799999999999,80,100,red4
ROI.14 [],156.286,26.286,130,150,red4
ROI.14 [],179.278,49.27799999999999,130,150,red4
ROI.01 [],120.278,40.278000000000006,80,100,red6
ROI.09 [],115.787,35.787000000000006,80,100,red6
ROI.11 [],122.276,42.276,80,100,red6
ROI.01 [],61.788,31.788,30,50,red7
ROI.01 [],100.775,20.77500000000001,80,100,red7
ROI.02 [],106.778,26.77800000000001,80,100,red7
ROI.03 [],62.28,32.28,30,50,red7
ROI.03 [],100.775,20.77500000000001,80,100,red7
ROI.06 [],61.788,31.788,30,50,red7
ROI.06 [],100.775,20.77500000000001,80,100,red7
ROI.07 [],106.778,26.77800000000001,80,100,red7
ROI.08 [],106.288,26.288,80,100,red7
ROI.09 [],59.776,29.776000000000003,30,50,red7
ROI.11 [],61.276,31.276000000000003,30,50,red7
ROI.11 [],100.277,20.277,80,100,red7
ROI.13 [],62.28,32.28,30,50,red7
ROI.13 [],100.775,20.77500000000001,80,100,red7
ROI.03 [],58.777,28.777,30,50,red8
ROI.08 [],174.778,44.77799999999999,130,150,red8
ROI.13 [],58.777,28.777,30,50,red8
