ROI,spike_count
ROI.01 [],9
ROI.02 [],7
ROI.03 [],2
ROI.06 [],9
ROI.07 [],3
ROI.08 [],2
ROI.09 [],2
ROI.10 [],5
ROI.11 [],10
ROI.13 [],2
