ROI,n_spikes,spike_times_s
ROI.31 [],4,71.278;113.277;133.279;178.278
ROI.F [],2,70.795;113.788
ROI.E [],1,156.788
ROI.09 [],1,155.278
ROI.19 [],1,159.279
