Parameter,Replicate,1,2,3,4,5,6,7,9,10
blue,1,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0
blue,2,4.0,4.0,5.0,3.0,4.0,4.0,3.0,3.0,2.0
blue,3,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0
blue,4,3.0,3.0,3.0,,3.0,3.0,3.0,,3.0
blue,5,3.0,3.0,3.0,,4.0,4.0,3.0,3.0,3.0
red,1,3.0,,,,,,,,
