Parameter,Replicate,ROI,spike_time_s
blue,1,1,50.276
blue,1,1,85.276
blue,1,1,140.275
blue,1,1,180.277
blue,1,2,49.276
blue,1,2,85.276
blue,1,2,140.275
blue,1,2,202.775
blue,1,3,49.276
blue,1,3,85.276
blue,1,3,140.275
blue,1,3,187.285
blue,1,4,50.276
blue,1,4,100.777
blue,1,4,148.776
blue,1,5,49.276
blue,1,5,85.276
blue,1,5,140.275
blue,1,5,182.286
blue,1,6,49.276
blue,1,6,85.276
blue,1,6,140.275
blue,1,6,182.286
blue,1,7,49.276
blue,1,7,95.276
blue,1,7,140.275
blue,1,7,180.277
blue,1,9,50.276
blue,1,9,100.777
blue,1,9,149.776
blue,1,10,49.276
blue,1,10,85.276
blue,1,10,140.275
blue,1,10,183.776
blue,2,1,38.775
blue,2,1,73.776
blue,2,1,143.776
blue,2,1,175.776
blue,2,2,38.775
blue,2,2,59.785
blue,2,2,96.275
blue,2,2,175.776
blue,2,3,38.775
blue,2,3,92.777
blue,2,3,112.275
blue,2,3,143.776
blue,2,3,165.275
blue,2,4,38.775
blue,2,4,96.275
blue,2,4,142.775
blue,2,5,38.775
blue,2,5,92.777
blue,2,5,143.776
blue,2,5,176.776
blue,2,6,38.775
blue,2,6,92.777
blue,2,6,143.776
blue,2,6,176.776
blue,2,7,38.775
blue,2,7,96.275
blue,2,7,175.776
blue,2,9,38.775
blue,2,9,97.776
blue,2,9,142.775
blue,2,10,38.775
blue,2,10,175.776
blue,3,1,44.275
blue,3,1,86.275
blue,3,1,134.275
blue,3,1,193.286
blue,3,2,44.275
blue,3,2,86.275
blue,3,2,134.275
blue,3,2,180.276
blue,3,3,44.275
blue,3,3,86.275
blue,3,3,134.275
blue,3,3,204.276
blue,3,4,47.775
blue,3,4,86.275
blue,3,4,134.275
blue,3,5,44.275
blue,3,5,86.275
blue,3,5,134.275
blue,3,5,176.787
blue,3,6,44.275
blue,3,6,86.275
blue,3,6,134.275
blue,3,6,176.787
blue,3,7,44.275
blue,3,7,86.275
blue,3,7,134.275
blue,3,7,175.277
blue,3,9,47.775
blue,3,9,96.776
blue,3,9,134.275
blue,3,10,40.776
blue,3,10,86.275
blue,3,10,134.275
blue,3,10,176.277
blue,4,1,35.276
blue,4,1,88.277
blue,4,1,148.776
blue,4,2,31.777
blue,4,2,93.778
blue,4,2,145.778
blue,4,3,34.277
blue,4,3,88.277
blue,4,3,148.776
blue,4,5,31.777
blue,4,5,93.279
blue,4,5,144.776
blue,4,6,31.777
blue,4,6,93.279
blue,4,6,144.776
blue,4,7,44.277
blue,4,7,100.277
blue,4,7,137.275
blue,4,10,35.276
blue,4,10,100.778
blue,4,10,148.776
blue,5,1,38.276
blue,5,1,99.777
blue,5,1,137.276
blue,5,2,45.277
blue,5,2,99.777
blue,5,2,140.776
blue,5,3,38.276
blue,5,3,98.776
blue,5,3,140.776
blue,5,5,45.277
blue,5,5,98.776
blue,5,5,139.776
blue,5,5,186.277
blue,5,6,45.277
blue,5,6,98.776
blue,5,6,139.776
blue,5,6,186.277
blue,5,7,44.778
blue,5,7,99.777
blue,5,7,145.777
blue,5,9,78.289
blue,5,9,116.778
blue,5,9,149.294
blue,5,10,38.276
blue,5,10,98.776
blue,5,10,133.775
red,1,1,43.276
red,1,1,91.777
red,1,1,139.777
