ROI,n_spikes,spike_times_s
ROI.02 [],1,50.276
ROI.05 [],1,50.276
ROI.03 [],1,50.276
ROI.08 [],1,101.276
ROI.13 [],1,50.276
ROI.14 [],1,50.276
