Time (s),ROI.01 [],ROI.02 [],ROI.03 [],ROI.04 [],ROI.05 [],ROI.06 [],ROI.07 [],ROI.08 [],ROI.09 [],ROI.10 [],ROI.11 [],ROI.12 [],ROI.13 [],ROI.14 [],ROI.15 [],ROI.16 [],ROI.17 [],ROI.18 [],ROI.19 [],ROI.20 [],ROI.21 [],ROI.22 [],ROI.23 [],ROI.000 [],ROI.24 [],ROI.25 []
0.257,,0.9552594910140902,1.1288150321729846,0.018180145503917458,-0.008259224118095185,0.04246215065687754,0.005673097243118094,0.06765718958951873,0.9821423366519155,1.046205030380514,1.1211370584082616,0.2425019775946715,0.09617467827383891,1.236495672473179,1.1750670214953853,1.2796524578008053,1.1469576400633166,0.24569581530505266,-0.0015040870559435364,0.8695154361399641,0.9625615383193111,0.8337990819402586,-0.00332358886170042,-0.027927511367430775,-3.53916695185145,1.095736506541118
0.777,,0.9748359803821399,1.0415503716400558,-0.027447935734487235,-0.08522133733708966,0.024843919647249364,-0.014491514694988755,0.04611537023720084,0.975405531737694,1.0237038584050326,1.1367012869414164,0.17136427670340754,0.06523880868069525,1.2804051275656319,1.2071131585103507,1.3086412894819637,1.1540274071588508,0.18600505650043078,-0.02698599827842875,0.8701529654725644,0.9342287194678977,0.8355673924011923,-0.02942210193520364,-0.055554987156809614,-3.6862133451227534,1.1091231040102956
1.276,,0.9102909014066792,1.2492919090843588,-0.007767399812170647,-0.04383426879628713,0.04503069452954764,-0.016361753212669087,0.03505514132602514,0.9575997166304985,1.0063217315528432,1.104852463179421,0.17613223162540467,0.07921644312566466,1.2614498948132327,1.2035567646954475,1.2952982054306412,1.1361653474533704,0.2254544247440821,-0.021341568247739404,0.8720498609616134,0.9048443356736191,0.8166214739088595,-0.023995388293066917,-0.04916355008210715,-3.254660661935117,1.0926132394844044
1.786,,0.8682873831120664,1.1263073387689457,-0.01794469719133798,-0.07352657717930015,0.029593683308487,-0.029318784729086635,0.006567950735607567,0.9514777334391464,1.0103093227543642,1.1206697382152877,0.15382215844381325,0.07273043564164407,1.2920331581539308,1.219010682761455,1.3354109331425537,1.1428041873447965,0.18455602976162838,-0.029050672479437455,0.8661537872399336,0.9030247589893062,0.8036115196901265,-0.02914733310125691,-0.062071230561263284,-2.9344633257691153,1.108672064917623
2.28,,0.9217695217963074,1.1265039885045531,-0.00564713190709008,-0.06322549877187222,0.035232142456311455,-0.029088581310848537,0.01303557233261345,0.9392861130347071,0.9993575262462605,1.1304172323693182,0.163522465248156,0.07018656460429419,1.2954415110297386,1.2181897440917242,1.3251469696821885,1.1253687426154815,0.1753965029051809,-0.03442720975035013,0.8710067056334815,0.8995901599635392,0.8019963768879754,-0.03273528234953265,-0.06300406308144035,-2.7138778324186887,1.0962284519932375
2.777,,0.8831826388418654,1.1450084226917137,-0.007465390050097291,-0.06274065894488458,0.04674560767803588,-0.016530195902478718,0.031569535161816764,0.9200093334100199,0.9722466074750763,1.1254957764981122,0.15214897418438036,0.06553278363684387,1.2813252818602727,1.21720462001216,1.3223785310298195,1.1092642080487634,0.17766026890977285,-0.028826522400688823,0.8728882291326919,0.8852703444861416,0.7801301399039712,-0.02703064065141646,-0.06387081982484609,-2.3617503249555556,1.082844034456993
3.288,,0.8865698142510108,1.1159303893676227,-0.017279973525451887,-0.07805859372367341,0.04458152042391893,-0.02798085411180557,0.02404856148396032,0.9213579110635369,0.9676867034499967,1.1239122079116355,0.1573155942087748,0.06082820069305565,1.3223108194267232,1.2242491439094472,1.3564066880962458,1.1032727252496088,0.17079864960684576,-0.04116114548897665,0.8646714305594203,0.875414423675832,0.7884557783482387,-0.03686090097486739,-0.06912628000051095,-2.2884235345323747,1.096514612438119
3.776,,0.8779876722747201,0.9986957316418231,0.001341832108554041,-0.0686585443328589,0.04135622208677909,-0.02846643434995769,0.02934648177096558,0.9090648744713032,0.9619144324693574,1.1294572410784822,0.12262699248064904,0.06341384548692457,1.308827059528048,1.2157630754373445,1.3479666655389893,1.0888809903848586,0.14454410528405723,-0.03785382745043788,0.868448143063394,0.8685032727813485,0.7707824892949368,-0.03834311237686894,-0.06825901854084306,-2.235641225041177,1.1053954918934963
4.279,,0.8512425811058538,0.9698094914364261,-0.03851409080039435,-0.11960047492669998,0.0015035158049523539,-0.043496496121683416,0.0061211278323989185,0.9190446608547308,0.9769409317683264,1.1453029220387994,0.09766906348125184,0.03889591121722537,1.3487468474032431,1.2491099647777861,1.3824963787641082,1.0850543630044716,0.11774044381883418,-0.05537634680616124,0.8839330563358276,0.8908439957017599,0.7746181520659889,-0.05296855646820723,-0.08392340102157778,-2.3795770749899674,1.1141534488645488
4.777,,0.7773695421833181,1.0878892310322898,-0.03815476913869772,-0.13177104676027643,-0.007682930131925609,-0.05802692783241672,-0.003968576415646748,0.915496108501641,0.9611567409597039,1.1409386098875818,0.08980563539123465,0.022203816925738622,1.343927769448456,1.266168055674223,1.3901075177251017,1.092466275999663,0.09707298610307362,-0.05732575302313801,0.8943122567800953,0.8940915943795181,0.7871233138410676,-0.05979483203045441,-0.09061194654927146,-2.4586194712508465,1.121569593462093
