ROI,n_spikes,spike_times_s
ROI.03 [],5,28.787;59.277;78.277;101.779;159.276
ROI.22 [],5,26.777;56.276;73.277;103.783;152.777
ROI.17 [],5,26.777;58.787;79.777;110.777;153.277
ROI.01 [],4,28.787;59.277;101.779;123.777
ROI.07 [],4,28.787;51.778;76.277;103.278
ROI.15 [],4,26.777;51.778;104.777;151.276
ROI.08 [],3,51.778;72.277;151.276
ROI.05 [],3,51.778;105.277;154.278
ROI.21 [],3,13.276;67.277;177.278
ROI.14 [],3,52.293;105.277;155.777
ROI.18 [],2,101.276;150.276
ROI.12 [],2,101.276;150.276
ROI.11 [],1,100.276
ROI.06 [],1,101.276
ROI.04 [],1,114.278
ROI.13 [],1,101.276
