Group_A,Group_B,n_A,n_B,Mean_A,Mean_B,p_value,Significance
10s,1mW,6,1,1.3333333333333333,1.0,1.0,ns
10s,20s,6,6,1.3333333333333333,4.333333333333333,0.051608605945879134,ns
10s,2Hz,6,6,1.3333333333333333,2.8333333333333335,0.19077554444898137,ns
10s,2mW,6,1,1.3333333333333333,4.0,1.0,ns
10s,5Hz,6,3,1.3333333333333333,2.6666666666666665,0.2008251226951454,ns
10s,5s,6,5,1.3333333333333333,3.6,0.2682647306161908,ns
10s,Ctrl,6,3,1.3333333333333333,5.666666666666667,0.021291755267428082,*
1mW,20s,1,6,1.0,4.333333333333333,1.0,ns
1mW,2Hz,1,6,1.0,2.8333333333333335,1.0,ns
1mW,2mW,1,1,1.0,4.0,1.0,ns
1mW,5Hz,1,3,1.0,2.6666666666666665,1.0,ns
1mW,5s,1,5,1.0,3.6,1.0,ns
1mW,Ctrl,1,3,1.0,5.666666666666667,1.0,ns
20s,2Hz,6,6,4.333333333333333,2.8333333333333335,0.6216592071261193,ns
20s,2mW,6,1,4.333333333333333,4.0,1.0,ns
20s,5Hz,6,3,4.333333333333333,2.6666666666666665,0.6948866023724733,ns
20s,5s,6,5,4.333333333333333,3.6,0.7092566788580349,ns
20s,Ctrl,6,3,4.333333333333333,5.666666666666667,0.29763831714664324,ns
2Hz,2mW,6,1,2.8333333333333335,4.0,1.0,ns
2Hz,5Hz,6,3,2.8333333333333335,2.6666666666666665,1.0,ns
2Hz,5s,6,5,2.8333333333333335,3.6,1.0,ns
2Hz,Ctrl,6,3,2.8333333333333335,5.666666666666667,0.11666446478102344,ns
2mW,5Hz,1,3,4.0,2.6666666666666665,1.0,ns
2mW,5s,1,5,4.0,3.6,1.0,ns
2mW,Ctrl,1,3,4.0,5.666666666666667,1.0,ns
5Hz,5s,3,5,2.6666666666666665,3.6,1.0,ns
5Hz,Ctrl,3,3,2.6666666666666665,5.666666666666667,0.12118327283746319,ns
5s,Ctrl,5,3,3.6,5.666666666666667,0.3682271338216957,ns
