ROI,Spike_Count,Avg_Latency_s,Median_Latency_s,Std_Latency_s,SEM_Latency_s
ROI.01 [],12,8.4015,6.035500000000006,7.5227465185142455,2.17162986375476
ROI.02 [],2,0.0,0.0,0.0,0.0
ROI.04 [],2,18.529,18.529,20.859650045003157,14.750000000000002
ROI.05 [],4,13.457999999999998,11.027000000000001,14.07935469638671,7.039677348193355
ROI.06 [],20,17.471699999999995,13.783499999999997,19.054042093891503,4.260613336808383
ROI.07 [],3,2.854666666666669,2.787000000000006,2.889094379443727,1.6680194176860708
ROI.08 [],3,23.448333333333327,19.788999999999987,24.704109786295337,14.262924435207681
ROI.09 [],15,10.050066666666668,1.2780000000000058,14.636021890560032,3.7790046024577464
ROI.10 [],5,0.0,0.0,0.0,0.0
ROI.11 [],32,23.508625000000002,17.033,24.764658505359947,4.377814490727282
ROI.12 [],1,0.0,0.0,,
