Repeat,VAR2,Point,CH2 Voltage,CH2 Current,CH2 Time
1,1,1,-151.24000E-003,25.00000E-009,15.58700E-003
1,1,2,-125.22000E-003,29.00000E-009,33.40900E-003
1,1,3,11.00000E-003,36.00000E-009,51.25200E-003
1,1,4,260.45000E-003,42.00000E-009,68.92400E-003
1,1,5,606.58000E-003,46.00000E-009,86.58100E-003
1,1,6,1.07547E+000,53.00000E-009,104.18000E-003
1,1,7,1.65390E+000,63.00000E-009,121.82500E-003
1,1,8,2.32459E+000,120.00000E-009,139.44700E-003
1,1,9,2.95554E+000,345.00000E-009,157.08800E-003
1,1,10,3.35170E+000,678.00000E-009,174.76200E-003
1,1,11,3.52624E+000,903.00000E-009,192.74000E-003
1,1,12,3.61494E+000,1.03800E-006,210.35100E-003
1,1,13,3.68049E+000,1.14600E-006,228.00800E-003
1,1,14,3.74081E+000,1.25300E-006,245.66700E-003
1,1,15,3.79324E+000,1.35400E-006,263.28900E-003
1,1,16,3.84643E+000,1.46200E-006,281.35800E-003
1,1,17,3.89114E+000,1.55900E-006,299.44100E-003
1,1,18,3.93611E+000,1.66200E-006,317.08800E-003
1,1,19,3.97915E+000,1.76800E-006,334.82900E-003
1,1,20,4.01869E+000,1.86300E-006,352.48700E-003
1,1,21,4.05854E+000,1.96600E-006,370.12800E-003
1,1,22,4.09668E+000,2.07100E-006,387.74800E-003
1,1,23,4.13162E+000,2.17000E-006,405.39900E-003
1,1,24,4.16524E+000,2.26700E-006,423.03700E-003
1,1,25,4.19980E+000,2.37400E-006,440.68800E-003
1,1,26,4.23138E+000,2.47500E-006,458.30000E-003
1,1,27,4.26315E+000,2.57200E-006,475.95600E-003
1,1,28,4.29239E+000,2.67400E-006,493.60000E-003
1,1,29,4.32262E+000,2.77500E-006,511.25800E-003
1,1,30,4.35050E+000,2.87800E-006,528.91600E-003
1,1,31,4.37931E+000,2.97900E-006,557.65100E-003
1,1,32,4.40591E+000,3.07500E-006,575.30000E-003
1,1,33,4.43323E+000,3.17700E-006,593.48500E-003
1,1,34,4.45911E+000,3.28000E-006,612.38200E-003
1,1,35,4.48442E+000,3.38000E-006,630.01000E-003
1,1,36,4.50990E+000,3.48000E-006,647.65600E-003
1,1,37,4.53289E+000,3.57900E-006,665.30800E-003
1,1,38,4.55705E+000,3.67700E-006,683.30400E-003
1,1,39,4.58107E+000,3.77900E-006,701.31400E-003
1,1,40,4.60483E+000,3.88100E-006,718.96900E-003
1,1,41,4.62702E+000,3.98300E-006,736.60300E-003
1,1,42,4.64881E+000,4.07900E-006,754.22300E-003
1,1,43,4.67104E+000,4.18000E-006,771.87600E-003
1,1,44,4.69250E+000,4.28100E-006,789.52500E-003
1,1,45,4.71331E+000,4.38400E-006,807.98200E-003
1,1,46,4.73374E+000,4.48400E-006,825.59200E-003
1,1,47,4.75414E+000,4.58500E-006,843.26200E-003
1,1,48,4.77378E+000,4.68400E-006,860.91800E-003
1,1,49,4.79342E+000,4.78100E-006,878.52500E-003
1,1,50,4.81283E+000,4.88200E-006,896.16900E-003
1,1,51,4.83234E+000,4.98400E-006,913.82300E-003
1,1,52,4.85082E+000,5.08700E-006,931.44300E-003
1,1,53,4.86972E+000,5.18500E-006,949.10300E-003
1,1,54,4.88816E+000,5.28600E-006,966.90200E-003
1,1,55,4.90561E+000,5.38500E-006,984.50900E-003
1,1,56,4.92266E+000,5.48400E-006,1.00215E+000
1,1,57,4.94048E+000,5.58300E-006,1.01980E+000
1,1,58,4.95781E+000,5.68700E-006,1.03761E+000
1,1,59,4.97409E+000,5.78700E-006,1.05526E+000
1,1,60,4.99088E+000,5.88600E-006,1.07959E+000
1,1,61,5.00809E+000,5.98700E-006,1.09724E+000
1,1,62,5.02562E+000,6.08600E-006,1.11484E+000
1,1,63,5.04144E+000,6.18700E-006,1.13250E+000
1,1,64,5.05730E+000,6.28500E-006,1.15017E+000
1,1,65,5.07330E+000,6.38500E-006,1.16780E+000
1,1,66,5.08942E+000,6.48700E-006,1.18547E+000
1,1,67,5.10565E+000,6.58700E-006,1.20312E+000
1,1,68,5.12109E+000,6.68800E-006,1.22076E+000
1,1,69,5.13739E+000,6.78900E-006,1.23839E+000
1,1,70,5.15269E+000,6.88800E-006,1.25603E+000
1,1,71,5.16754E+000,6.98600E-006,1.27368E+000
1,1,72,5.18266E+000,7.08800E-006,1.29133E+000
1,1,73,5.19831E+000,7.18600E-006,1.30897E+000
1,1,74,5.21341E+000,7.28800E-006,1.32682E+000
1,1,75,5.22876E+000,7.38700E-006,1.34443E+000
1,1,76,5.24317E+000,7.49000E-006,1.36208E+000
1,1,77,5.25740E+000,7.59000E-006,1.37972E+000
1,1,78,5.27227E+000,7.69100E-006,1.39867E+000
1,1,79,5.28566E+000,7.78900E-006,1.41630E+000
1,1,80,5.29996E+000,7.88700E-006,1.43395E+000
1,1,81,5.31413E+000,7.98900E-006,1.45160E+000
1,1,82,5.32666E+000,8.08800E-006,1.46923E+000
1,1,83,5.34091E+000,8.18700E-006,1.48687E+000
1,1,84,5.35545E+000,8.29000E-006,1.50452E+000
1,1,85,5.36888E+000,8.39000E-006,1.52284E+000
1,1,86,5.38128E+000,8.49000E-006,1.54047E+000
1,1,87,5.39515E+000,8.59100E-006,1.55812E+000
1,1,88,5.40766E+000,8.69100E-006,1.57581E+000
1,1,89,5.42078E+000,8.79100E-006,1.60069E+000
1,1,90,5.43244E+000,8.88900E-006,1.61835E+000
1,1,91,5.44591E+000,8.98800E-006,1.63676E+000
1,1,92,5.45996E+000,9.08800E-006,1.65442E+000
1,1,93,5.47321E+000,9.18900E-006,1.67208E+000
1,1,94,5.48525E+000,9.29000E-006,1.68972E+000
1,1,95,5.49836E+000,9.39100E-006,1.70733E+000
1,1,96,5.51100E+000,9.49100E-006,1.72497E+000
1,1,97,5.52237E+000,9.59200E-006,1.74297E+000
1,1,98,5.53495E+000,9.69000E-006,1.76063E+000
1,1,99,5.54670E+000,9.79000E-006,1.77824E+000
1,1,100,5.55812E+000,9.89000E-006,1.79590E+000
1,1,101,5.57104E+000,9.98900E-006,1.81356E+000
1,1,102,5.58384E+000,10.08800E-006,1.83181E+000
1,1,103,5.59589E+000,10.19200E-006,1.84947E+000
1,1,104,5.60693E+000,10.29100E-006,1.86713E+000
1,1,105,5.61864E+000,10.39000E-006,1.88491E+000
1,1,106,5.63050E+000,10.49000E-006,1.90256E+000
1,1,107,5.64138E+000,10.59200E-006,1.92058E+000
1,1,108,5.65327E+000,10.68900E-006,1.93822E+000
1,1,109,5.66540E+000,10.78900E-006,1.95587E+000
1,1,110,5.67687E+000,10.89100E-006,1.97349E+000
1,1,111,5.68789E+000,10.99000E-006,1.99114E+000
1,1,112,5.69876E+000,11.09100E-006,2.00879E+000
1,1,113,5.70834E+000,11.19200E-006,2.02639E+000
1,1,114,5.71988E+000,11.29000E-006,2.04405E+000
1,1,115,5.73079E+000,11.39100E-006,2.06169E+000
1,1,116,5.74240E+000,11.49200E-006,2.07945E+000
1,1,117,5.75340E+000,11.59300E-006,2.09706E+000
1,1,118,5.76581E+000,11.69400E-006,2.12462E+000
1,1,119,5.77709E+000,11.79300E-006,2.14224E+000
1,1,120,5.78626E+000,11.89100E-006,2.15989E+000
1,1,121,5.79808E+000,11.99200E-006,2.17755E+000
1,1,122,5.80868E+000,12.09100E-006,2.19521E+000
1,1,123,5.81908E+000,12.19000E-006,2.21286E+000
1,1,124,5.82916E+000,12.29200E-006,2.23128E+000
