ROI,n_latencies,mean_latency_s,median_latency_s,std_latency_s,min_latency_s,max_latency_s
ROI.02 [],1,9.778999999999996,9.778999999999996,0.0,9.778999999999996,9.778999999999996
ROI.04 [],7,13.06757142857143,15.778000000000006,8.099632299540215,3.2860000000000014,24.277
ROI.05 [],1,7.778999999999996,7.778999999999996,0.0,7.778999999999996,7.778999999999996
ROI.06 [],15,22.614266666666666,19.277,14.640659108417523,3.7790000000000035,49.78200000000001
ROI.07 [],1,11.278999999999996,11.278999999999996,0.0,11.278999999999996,11.278999999999996
ROI.08 [],1,6.287999999999997,6.287999999999997,0.0,6.287999999999997,6.287999999999997
ROI.09 [],1,8.787999999999997,8.787999999999997,0.0,8.787999999999997,8.787999999999997
ROI.10 [],3,10.278666666666666,9.778999999999996,3.083396647998582,6.777000000000001,14.280000000000001
ROI.11 [],11,20.693818181818184,18.790000000000006,12.760304013321806,4.786999999999999,44.27699999999999
ROI.12 [],2,12.530500000000004,12.530500000000004,2.2524999999999977,10.278000000000006,14.783000000000001
ROI.000 [],3,23.950666666666663,19.787999999999997,18.803835802540096,3.2860000000000014,48.77799999999999
