ROI,n_spikes,spike_times_s
ROI.10 [],7,26.784;55.778;61.787;79.284;108.289;123.287;156.786
ROI.09 [],5,25.283;52.282;79.284;110.788;129.778
ROI.04 [],4,22.789;77.777;128.279;150.778
