Time (s),ROI.01 [],ROI.02 [],ROI.03 [],ROI.04 [],ROI.05 [],ROI.06 [],ROI.07 [],ROI.08 [],ROI.09 [],ROI.10 [],ROI.11 [],ROI.12 [],ROI.13 [],ROI.14 [],ROI.15 [],ROI.16 [],ROI.17 [],ROI.18 [],ROI.19 []
0.257,0.0,2.7441065972234377,0.47847969085653,0.06530751316978603,0.04563867677342436,0.09510758637882555,0.1183880387334315,0.013087676718019019,0.20041236932234527,0.03931219266792226,0.04380749046358146,0.001766897898583224,0.030928679519319217,0.014539131624982257,0.01906820216065179,0.013906799623298495,0.012432709388840358,0.015671291901615203,0.007219435336654413
0.778,0.0,2.5714005199041736,0.4330948738044519,0.06972505298647468,0.03715625255445569,0.10400205945717254,0.1938502708932371,0.017581412864856472,0.21136554563820326,0.06347445755772758,0.04381241540555627,0.003923432571172789,0.038699732486625955,0.022075580605358937,0.02763560764579971,0.009254095368329954,0.022074245002522256,0.021180154778037762,0.018059531665011775
1.281,0.0,2.066662788136175,0.4119500929716933,0.07010482853796984,0.035044785227515786,0.0796071035373974,0.15701887282094174,0.010869747128683153,0.1833980635093988,0.03256705401733156,0.040459562271153104,0.0037398208414762047,0.035799949800790695,0.008941861910755543,0.013457454245714463,0.01613734610243407,0.012988913134433924,0.018333939768500767,0.02052356628838526
1.778,0.0,2.043019971584552,0.3979478350145505,0.06363814406300816,0.05363194391069247,0.07848194012854486,0.16300468440412755,0.023721181921092016,0.15885821427644103,0.04994916402826816,0.04290149901101902,0.01962300282881563,0.022572716465571713,0.009243333955531638,0.017360260649681106,0.011969023752538135,0.015511487149687102,0.014682989405294689,0.014350366119776765
2.278,0.0,1.5412924411641167,0.3210241842780469,0.05996896370150524,0.04436595805309145,0.07912141521660745,0.19041169361139704,0.018659707736577654,0.15522540404235316,0.04303710781679786,0.03367950502804355,0.001341423558225912,0.00935740250561866,0.01536650061551278,0.020022496852045147,0.007896751107247904,0.018785638849598985,0.020483058321694027,0.01453352723943302
2.787,0.0,3.049999070417809,0.39890072033827934,0.06932674010558487,0.04711236786405376,0.09194347372063269,0.1993085069214166,0.018307080682256435,0.14792031247860496,0.03599248662406495,0.03609579864323256,0.005864595667313305,0.03743627013690099,0.022164261551704114,0.015946591751428138,0.021845132887047886,0.02750747558350716,0.0223899411882993,0.02344231416634544
3.278,0.0,2.7415085789511133,0.23457019611272548,0.053100621511028415,0.023826956375617186,0.0455061317699511,0.0663369722467655,0.017136650131497407,0.11971990470090621,0.0326731072332595,0.028800202415429497,0.014542346631603014,0.025710038171950455,0.0140084502043262,0.01452022588187533,0.008008076174338248,0.02141675401879277,0.022940090376003554,0.03296928030293013
3.787,0.0,2.3806570092857955,0.22568364828874546,0.049054159561084804,0.018021102859542632,0.03917511631230965,0.086326637617548,-0.0018080850667355614,0.10607359024924395,0.015660397277618414,0.02781676392127854,0.014050595973845403,0.0064588898629816,0.007093831645837605,0.007487477557660931,0.0029977662200016755,0.01292067077468119,0.014383615898846038,0.018046707763128077
4.278,0.0,2.853789762960579,0.309460683136278,0.06847857702105309,0.04191371337314292,0.06710454643365693,0.10110374363812774,0.02081990689384899,0.12001909005677375,0.044807158921236004,0.0199089865030715,0.01702038649945435,0.04144731955112079,0.0004220210613310324,0.015403267873882687,0.019724464248353002,0.017124567339180233,0.015618627464808582,0.012382795983992554
4.779,0.0,2.390545021192162,0.277056758297218,0.05782675093228978,0.04270244621283103,0.06535593216209244,0.14138120824069716,0.01603125241195029,0.11914450872118354,0.03736671499804826,0.032376667228139526,0.01000134921521662,0.03714389076773676,0.008016301173243421,0.018320056288850025,-0.00043548368106463537,0.012802151041339993,0.01870820561392037,0.022496239623844574
