ROI,n_spikes,spike_times_s
ROI.04 [],24,28.783;45.776;52.778;60.777;71.280;74.277;79.777;83.778;94.277;97.286;102.278;115.777;118.278;123.277;127.287;133.777;144.777;150.777;154.282;164.277;170.276;175.777;191.285;197.284
ROI.09 [],22,17.277;19.277;23.778;24.778;32.777;34.277;39.278;64.777;70.287;75.777;79.276;86.275;96.777;108.784;146.776;148.776;165.278;171.278;173.277;175.777;178.285;195.777
ROI.11 [],22,19.277;28.783;35.777;45.776;59.277;75.276;83.778;87.277;94.778;100.786;113.793;119.277;122.777;128.777;135.277;148.285;165.776;171.278;174.277;177.281;179.285;196.777
ROI.06 [],13,22.776;42.277;45.276;49.278;108.277;132.783;138.277;152.777;167.778;172.278;176.780;196.277;197.785
ROI.10 [],1,140.776
ROI.000 [],1,109.286
