ROI,n_spikes,spike_times_s
ROI.01 [],4,41.277;88.777;140.776;186.777
ROI.02 [],4,41.277;86.275;140.277;189.276
ROI.03 [],4,41.277;88.777;140.776;186.777
ROI.04 [],4,40.777;88.777;140.277;186.777
ROI.05 [],4,41.277;87.778;140.277;187.277
ROI.06 [],4,41.277;86.275;140.277;189.276
ROI.07 [],4,41.277;83.777;135.275;189.276
ROI.09 [],4,41.277;86.275;135.275;189.276
ROI.12 [],4,41.277;86.275;140.277;189.276
ROI.08 [],3,88.777;135.275;189.276
ROI.10 [],3,88.777;135.275;189.276
ROI.11 [],3,88.777;140.776;183.276
ROI.13 [],3,86.275;135.275;189.276
