ROI,n_spikes,spike_times_s
ROI.09 [],4,134.288;138.779;159.279;166.277
ROI.000 [],4,45.779;82.286;154.278;192.787
ROI.04 [],2,132.778;166.777
ROI.02 [],2,133.279;167.779
ROI.05 [],2,133.279;166.277
ROI.06 [],2,60.781;153.777
ROI.08 [],2,131.778;166.777
ROI.07 [],2,132.778;166.277
ROI.10 [],2,163.785;165.778
ROI.12 [],2,133.279;167.277
