Time (s),ROI.01 [],ROI.02 [],ROI.03 [],ROI.04 [],ROI.05 [],ROI.06 [],ROI.07 [],ROI.08 []
0.258,0.0,-0.020200567317008967,0.0019415347671021287,-0.09467783384484696,0.019526457157129615,-0.006488226293929103,4.8726934003982805e-05,0.009469005416944835
0.777,0.0,0.0281956446572858,0.0075351947441517075,0.18979381435218862,0.10404129595123585,0.01297954710764657,0.012828681108084392,0.016563793059393265
1.277,0.0,0.03226008999591236,0.03379133942321095,0.39175471182747723,0.04006186444720693,0.000434833849389336,0.014280350646910555,0.02504625926449599
1.787,0.0,0.02837020491797345,0.028906076285471632,-0.0056161861122767985,0.009777583941022926,-0.0005534248992227913,0.020623781228754808,0.02232650743144918
2.278,0.0,0.018403243807160467,0.015620687958399245,0.23826102197271673,-0.007055655678573633,0.020208140519741905,0.0029949385358310704,0.0019133032290757153
2.777,0.0,0.009315524392823224,0.043065868976007025,0.8374449310149035,0.14615947130982118,0.019682209448077338,0.02434372863966945,0.022349198378363227
3.287,0.0,0.031452860485848985,0.027973711857438393,1.2195174567638292,0.11208695805512517,0.02382180473494997,0.00967766555615143,0.0060176549518482095
3.778,0.0,0.03931429924932995,0.031140433654675146,0.7833683970982717,0.024727025402561113,0.04321837251093588,0.02113186538521065,0.020443481631081537
4.276,0.0,0.02695513269555666,0.041137789450691534,0.5761155835405264,0.055059775723620204,0.015861139364470287,0.016757628745776423,0.037433103239776486
4.777,0.0,0.03284383885815629,0.03584282670486202,0.7130622945074983,0.05104437271590309,0.01840326622892928,0.021164630294564023,0.009158678478536238
5.278,0.0,0.014053760294422072,0.02897295834021373,0.5735265042066842,0.10353411049958233,0.027097382928797716,0.021061132012351016,0.027923489029893788
5.778,0.0,0.02141546799425204,0.01696419474435494,0.32437270360814896,0.02575072916880951,0.02687012159334179,0.022708510782325626,0.033400932100972204
6.278,0.0,0.02719554676416248,0.003519538643493459,0.22340866626239114,0.056417102781842574,0.015792698164221908,0.015015384609606905,0.0320566050867721
6.777,0.0,0.024197545942663393,0.011242813356433439,0.113954347504006,0.07088536081270826,0.007019352909876496,0.005408929612270433,0.017547529138245012
7.279,0.0,0.020706805104466323,0.009872288956373753,0.507829801667223,0.08789925307566222,0.015790767597396223,0.014358663795304307,0.036889394902714895
7.777,0.0,0.028943622040953798,0.021012851983043233,0.634611529511772,0.10506677018745314,0.01224043480884726,0.008921108742030198,0.0013590871854010408
8.294,0.0,0.013185235672914046,0.008123124421256882,0.01221572474011641,0.04648386736890128,0.0162833990106671,-0.00426110179526293,0.003637409144081797
8.783,0.0,0.005335317672245425,0.009569317354024767,0.5607505326809583,0.0429054050405886,0.015507112934168546,0.005584546231443481,0.026915678329439294
9.284,0.0,0.0008543874878605288,0.009542925486769705,0.6695348784458017,0.04865825549609971,0.011531376895857835,0.0020970010094708484,-0.01934087370267324
9.786,0.0,0.00916123547977521,0.02278431875483876,0.2595797966125672,0.08958066692704804,0.010763066092363941,0.016733628332344336,0.024768756363357947
10.278,0.0,0.04362998099573511,0.015774605231807348,0.5292847752244411,0.06838379600618119,0.01236960914489019,0.0061595724611816765,0.026346279358950828
10.778,0.0,0.045325493162673335,0.012277551921209448,0.4281562379042765,0.036972156730311324,0.024818813054153215,0.010625947251491278,0.015259281630185537
11.277,0.0,0.023458850582474364,0.01957078586414576,0.46404659401927817,0.010266937018405505,0.01971072481681335,0.013845117128397576,0.03874858275214737
11.776,0.0,0.02297332035419107,0.0056042216825363525,0.4214145778179678,0.05920877684557279,0.020323749192610433,0.007899212293996063,0.011741373088075822
12.288,0.0,0.01681158123846583,0.01166906273211257,0.2765622933037,0.05431671232323417,-0.008804849453509516,0.007079647132357307,0.007891351958254978
12.777,0.0,0.038329774287807546,0.0017431194017735773,0.42310295569936934,0.08951839171337975,0.012136278331736855,0.016580476075806476,0.03278362294005486
13.288,0.0,0.0020044389088720253,0.03142309226341962,1.199881203115144,-0.01298890563269038,0.02723880816896935,0.020303879489076377,0.008569040411394556
13.777,0.0,0.030825282161455116,0.0059004312317148195,0.44858358398259174,0.03379851477229145,0.024636048505921146,0.011627716254328868,0.02038784499423056
14.278,0.0,0.056915414958257304,0.039518522536716755,1.4270318717086397,0.018766719150750077,0.026250624234366065,0.02949638937275927,0.04440782296737594
