Group_A,Group_B,n_A,n_B,Mean_A,Mean_B,p_value,Significance
10s,1mw,7,1,19.813714285714287,0.0,1.0,ns
10s,20s,7,26,19.813714285714287,8.172115384615385,0.018917157071214215,*
10s,2hz,7,13,19.813714285714287,15.740538461538465,0.6915064075208806,ns
10s,2mw,7,9,19.813714285714287,4.892555555555556,0.03333660261828085,*
10s,5hz,7,7,19.813714285714287,5.2711428571428565,0.07237218762491178,ns
10s,5s,7,25,19.813714285714287,27.773600000000002,0.8187582739221301,ns
10s,Ctrl,7,29,19.813714285714287,13.639137931034478,0.2933022319940537,ns
1mw,20s,1,26,0.0,8.172115384615385,1.0,ns
1mw,2hz,1,13,0.0,15.740538461538465,1.0,ns
1mw,2mw,1,9,0.0,4.892555555555556,1.0,ns
1mw,5hz,1,7,0.0,5.2711428571428565,1.0,ns
1mw,5s,1,25,0.0,27.773600000000002,1.0,ns
1mw,Ctrl,1,29,0.0,13.639137931034478,1.0,ns
20s,2hz,26,13,8.172115384615385,15.740538461538465,0.010908414759466228,*
20s,2mw,26,9,8.172115384615385,4.892555555555556,0.027511198197843686,*
20s,5hz,26,7,8.172115384615385,5.2711428571428565,0.22975338840110648,ns
20s,5s,26,25,8.172115384615385,27.773600000000002,0.0014747365972441813,**
20s,Ctrl,26,29,8.172115384615385,13.639137931034478,0.08017454995295853,ns
2hz,2mw,13,9,15.740538461538465,4.892555555555556,0.14090029346427682,ns
2hz,5hz,13,7,15.740538461538465,5.2711428571428565,0.1207421025458115,ns
2hz,5s,13,25,15.740538461538465,27.773600000000002,0.47705587719777853,ns
2hz,Ctrl,13,29,15.740538461538465,13.639137931034478,0.3580082794960904,ns
2mw,5hz,9,7,4.892555555555556,5.2711428571428565,0.831359055457996,ns
2mw,5s,9,25,4.892555555555556,27.773600000000002,0.0549557128302349,ns
2mw,Ctrl,9,29,4.892555555555556,13.639137931034478,0.8884515213409543,ns
5hz,5s,7,25,5.2711428571428565,27.773600000000002,0.06607540805463102,ns
5hz,Ctrl,7,29,5.2711428571428565,13.639137931034478,0.6183892257483256,ns
5s,Ctrl,25,29,27.773600000000002,13.639137931034478,0.09540094652404399,ns
