ROI,n_spikes,spike_times_s
ROI.06 [],3,97.282;122.276;131.778
ROI.01 [],2,97.786;131.286
ROI.07 [],2,98.278;131.286
ROI.03 [],1,97.786
ROI.08 [],1,98.278
ROI.14 [],1,97.282
