Condition,ROI,Spike_Count,Avg_Latency_s,Median_Latency_s,Std_Latency_s
blue1,ROI.10 [],3,37.952,34.77799999999999,5.927833584033882
blue1,[blue1 TOTAL],3,37.952,34.77799999999999,5.927833584033882
blue2,ROI.01 [],1,23.295999999999992,23.295999999999992,
blue2,ROI.06 [],2,26.535500000000006,26.535500000000006,1.7656456326228016
blue2,ROI.11 [],1,23.295999999999992,23.295999999999992,
blue2,[blue2 TOTAL],4,24.91575,24.2915,2.130091136547922
blue3,ROI.01 [],1,28.276000000000003,28.276000000000003,
blue3,ROI.06 [],2,25.277000000000008,25.277000000000008,4.241226473556908
blue3,ROI.11 [],1,27.779000000000003,27.779000000000003,
blue3,[blue3 TOTAL],4,26.652250000000002,28.027500000000003,2.9255630084936897
blue4,ROI.01 [],5,30.580999999999996,22.788,13.712367647492531
blue4,ROI.06 [],4,32.657,26.7865,14.898776079486078
blue4,ROI.07 [],1,57.77600000000001,57.77600000000001,
blue4,ROI.11 [],4,33.15424999999999,28.281,14.185565371766705
blue4,[blue4 TOTAL],14,33.851857142857135,28.281,14.291584365294481
ALL,OVERALL,25,31.762159999999998,27.784,11.606077982677867
