ROI,n_spikes,spike_times_s
ROI.16 [],3,42.790;113.276;150.278
ROI.09 [],2,41.277;112.785
ROI.10 [],2,40.777;113.276
ROI.11 [],2,40.297;111.277
ROI.E [],2,42.277;112.278
ROI.12 [],2,41.788;112.278
ROI.17 [],2,42.790;114.280
ROI.19 [],2,41.788;115.288
ROI.18 [],2,42.277;113.778
ROI.20 [],2,42.790;111.777
ROI.21 [],2,41.277;111.277
ROI.13 [],1,40.297
ROI.14 [],1,42.277
