Group_A,Group_B,n_paired_ROIs,Mean_A,Mean_B,Mean_Diff,t_statistic,p_value,Cohens_d,Significance
10s,20s,3,0.11662532260956415,0.20480190168763768,-0.08817657907807354,-7.559109964869606,0.01705441493857033,-4.3642541730514495,*
10s,5hz,3,0.11662532260956415,0.2551922956211184,-0.13856697301155427,-3.9440749728312925,0.05868333465425364,-2.277112747268213,ns
1mw,2hz,2,0.27987718882335877,0.4603833989259693,-0.18050621010261053,-103.6192630194626,0.006143645407077788,-73.26988354261445,**
1mw,5hz,2,0.27987718882335877,0.46174297422109395,-0.18186578539773518,-12.011536614595974,0.052878749143330385,-8.493438992651319,ns
20s,2hz,3,0.3845746540092107,0.27857766841122883,0.10599698559798183,1.4146699159221836,0.29277915803317067,0.816760056772138,ns
20s,5hz,15,0.25511966757622384,0.2736951765685161,-0.018575508992292277,-0.6558231139274086,0.5225704500585685,-0.16933279988658284,ns
20s,5s,2,0.4767009834327949,0.288182453493764,0.18851852993903093,7.249224977974891,0.08726824921811321,5.125976140272946,ns
20s,Far Light Control,2,0.4767009834327949,0.4080593584169146,0.06864162501588031,8.971465384690212,0.07066880386325014,6.343784010694828,ns
2hz,5hz,5,0.35129996061712504,0.3341763230183224,0.017123637598802633,1.8207256376682304,0.14275670800368734,0.814253258840563,ns
2hz,5s,2,0.29639545944629875,0.288182453493764,0.008213005952534741,0.8769687391530127,0.5416694461602334,0.6201105423437119,ns
2hz,Far Light Control,2,0.29639545944629875,0.4080593584169146,-0.11166389897061588,-4.596883096529173,0.13636486504433235,-3.2504872098775937,ns
5hz,5s,2,0.27355037446289754,0.288182453493764,-0.01463207903086644,-2.045353710357822,0.2894956650246203,-1.4462834785190817,ns
5hz,Far Light Control,2,0.27355037446289754,0.4080593584169146,-0.13450898395401706,-5.0753075048137735,0.12384831176401895,-3.588784353260795,ns
5s,Far Light Control,2,0.288182453493764,0.4080593584169146,-0.11987690492315062,-3.561781979573228,0.1742503272763369,-2.518560190864275,ns
