ROI,Group_A,Group_B,n_A,n_B,Mean_A,Mean_B,p_value,Significance
ROI.09 [],20s,5hz,4,1,0.21501425350994463,0.3100843240458927,1.0,ns
ROI.10 [],20s,5hz,4,2,0.2491642801685186,0.29200687151032795,0.8,ns
ROI.11 [],20s,5hz,3,2,0.23860148654064325,0.2673292580614862,1.0,ns
ROI.12 [],20s,5hz,3,1,0.21465180708566656,0.3418511190178534,1.0,ns
ROI.13 [],20s,5hz,3,1,0.24861828513519,0.3850302817401357,1.0,ns
ROI.14 [],10s,20s,1,3,0.1367799842561059,0.2090415498106651,1.0,ns
ROI.14 [],10s,5hz,1,1,0.1367799842561059,0.304648538395072,1.0,ns
ROI.14 [],20s,5hz,3,1,0.2090415498106651,0.304648538395072,1.0,ns
ROI.16 [],20s,5hz,5,1,0.249641128654092,0.2014845589033505,1.0,ns
ROI.17 [],10s,20s,1,5,0.1140387351267484,0.19539964013659028,1.0,ns
ROI.17 [],10s,5hz,1,2,0.1140387351267484,0.18264637673370546,1.0,ns
ROI.17 [],20s,5hz,5,2,0.19539964013659028,0.18264637673370546,0.8571428571428571,ns
ROI.18 [],20s,5hz,5,1,0.22927503013109765,0.2910500099525862,1.0,ns
ROI.19 [],20s,2hz,4,1,0.20032199516204213,0.242942086341089,1.0,ns
ROI.19 [],20s,5hz,4,2,0.20032199516204213,0.2002949177236289,0.8,ns
ROI.19 [],2hz,5hz,1,2,0.242942086341089,0.2002949177236289,1.0,ns
ROI.20 [],20s,5hz,3,2,0.22431510616360964,0.16987445046332494,0.2,ns
ROI.21 [],20s,5hz,3,1,0.18938396916404973,0.3337442213200044,1.0,ns
ROI.22 [],20s,2hz,3,2,0.4499372314153461,0.2862718223559521,0.2,ns
ROI.22 [],20s,5hz,3,1,0.4499372314153461,0.2656381447366228,1.0,ns
ROI.22 [],20s,5s,3,6,0.4499372314153461,0.2874240372897023,0.023809523809523808,*
ROI.22 [],20s,Far Light Control,3,1,0.4499372314153461,0.3736445012485707,1.0,ns
ROI.22 [],2hz,5hz,2,1,0.2862718223559521,0.2656381447366228,1.0,ns
ROI.22 [],2hz,5s,2,6,0.2862718223559521,0.2874240372897023,1.0,ns
ROI.22 [],2hz,Far Light Control,2,1,0.2862718223559521,0.3736445012485707,1.0,ns
ROI.22 [],5hz,5s,1,6,0.2656381447366228,0.2874240372897023,1.0,ns
ROI.22 [],5hz,Far Light Control,1,1,0.2656381447366228,0.3736445012485707,1.0,ns
ROI.22 [],5s,Far Light Control,6,1,0.2874240372897023,0.3736445012485707,1.0,ns
ROI.31 [],1mw,2hz,1,3,0.3050395130102889,0.48380370908150544,1.0,ns
ROI.31 [],1mw,5hz,1,2,0.3050395130102889,0.4717643725437397,1.0,ns
ROI.31 [],2hz,5hz,3,2,0.48380370908150544,0.4717643725437397,1.0,ns
ROI.B [],20s,2mw,1,1,0.0128253505493455,0.0105787015176906,1.0,ns
ROI.D [],20s,2hz,2,2,0.5034647354502437,0.30651909653664533,0.3333333333333333,ns
ROI.D [],20s,5hz,2,1,0.5034647354502437,0.2814626041891723,1.0,ns
ROI.D [],20s,5s,2,7,0.5034647354502437,0.2889408696978257,0.05555555555555555,ns
ROI.D [],20s,Far Light Control,2,1,0.5034647354502437,0.4424742155852585,1.0,ns
ROI.D [],2hz,5hz,2,1,0.30651909653664533,0.2814626041891723,1.0,ns
ROI.D [],2hz,5s,2,7,0.30651909653664533,0.2889408696978257,0.2222222222222222,ns
ROI.D [],2hz,Far Light Control,2,1,0.30651909653664533,0.4424742155852585,1.0,ns
ROI.D [],5hz,5s,1,7,0.2814626041891723,0.2889408696978257,1.0,ns
ROI.D [],5hz,Far Light Control,1,1,0.2814626041891723,0.4424742155852585,1.0,ns
ROI.D [],5s,Far Light Control,7,1,0.2889408696978257,0.4424742155852585,1.0,ns
ROI.E [],10s,20s,1,4,0.0990572484458381,0.20996451511565764,1.0,ns
ROI.E [],10s,5hz,1,1,0.0990572484458381,0.2782819717345777,1.0,ns
ROI.E [],20s,5hz,4,1,0.20996451511565764,0.2782819717345777,1.0,ns
ROI.F [],1mw,2hz,1,3,0.2547148646364286,0.43696308877043316,1.0,ns
ROI.F [],1mw,5hz,1,2,0.2547148646364286,0.4517215758984482,1.0,ns
ROI.F [],2hz,5hz,3,2,0.43696308877043316,0.4517215758984482,0.8,ns
