Group_A,Group_B,n_A,n_B,Mean_A,Mean_B,p_value,Significance
10s,1mw,1,1,3.0,2.0,1.0,ns
10s,20s,1,4,3.0,13.75,1.0,ns
10s,2hz,1,3,3.0,3.6666666666666665,1.0,ns
10s,2mw,1,1,3.0,3.0,1.0,ns
10s,5hz,1,3,3.0,8.0,1.0,ns
10s,5s,1,2,3.0,6.5,1.0,ns
10s,Far Light Control,1,1,3.0,2.0,1.0,ns
1mw,20s,1,4,2.0,13.75,1.0,ns
1mw,2hz,1,3,2.0,3.6666666666666665,1.0,ns
1mw,2mw,1,1,2.0,3.0,1.0,ns
1mw,5hz,1,3,2.0,8.0,1.0,ns
1mw,5s,1,2,2.0,6.5,1.0,ns
1mw,Far Light Control,1,1,2.0,2.0,1.0,ns
20s,2hz,4,3,13.75,3.6666666666666665,0.05714285714285714,ns
20s,2mw,4,1,13.75,3.0,1.0,ns
20s,5hz,4,3,13.75,8.0,0.21179837830572268,ns
20s,5s,4,2,13.75,6.5,0.26666666666666666,ns
20s,Far Light Control,4,1,13.75,2.0,1.0,ns
2hz,2mw,3,1,3.6666666666666665,3.0,1.0,ns
2hz,5hz,3,3,3.6666666666666665,8.0,0.6428348264908044,ns
2hz,5s,3,2,3.6666666666666665,6.5,0.23613697022165292,ns
2hz,Far Light Control,3,1,3.6666666666666665,2.0,1.0,ns
2mw,5hz,1,3,3.0,8.0,1.0,ns
2mw,5s,1,2,3.0,6.5,1.0,ns
2mw,Far Light Control,1,1,3.0,2.0,1.0,ns
5hz,5s,3,2,8.0,6.5,0.7670968684102772,ns
5hz,Far Light Control,3,1,8.0,2.0,1.0,ns
5s,Far Light Control,2,1,6.5,2.0,1.0,ns
