ROI,Total_Spikes,Mean_per_replicate,SEM,n_replicates
ROI.01 [],1,1.0,0.0,1
ROI.09 [],5,1.25,0.25,4
ROI.10 [],6,1.2,0.20000000000000004,5
ROI.11 [],5,1.0,0.0,5
ROI.12 [],4,1.0,0.0,4
ROI.13 [],4,1.0,0.0,4
ROI.14 [],5,1.0,0.0,5
ROI.16 [],6,1.5,0.28867513459481287,4
ROI.17 [],8,1.6,0.24494897427831777,5
ROI.18 [],6,1.5,0.28867513459481287,4
ROI.19 [],7,1.4,0.24494897427831777,5
ROI.20 [],5,1.25,0.25,4
ROI.21 [],4,1.0,0.0,4
ROI.22 [],13,2.1666666666666665,0.47726070210921184,6
ROI.31 [],6,1.5,0.28867513459481287,4
ROI.A [],1,1.0,0.0,1
ROI.B [],2,1.0,0.0,2
ROI.D [],13,2.1666666666666665,0.47726070210921184,6
ROI.E [],6,1.2,0.19999999999999998,5
ROI.F [],6,1.5,0.28867513459481287,4
