Group_A,Group_B,n_paired_ROIs,Mean_A,Mean_B,Mean_Diff,t_statistic,p_value,Cohens_d,Significance
10s,20s,3,29.610333333333333,23.86018333333334,5.750149999999998,3.5563576702937945,0.07077472873235734,2.0532640582787125,ns
10s,5hz,3,29.610333333333333,22.52799999999999,7.0823333333333425,1.8462568977058904,0.20613417203476672,1.0659369168836992,ns
1mw,2hz,2,14.78200000000001,25.11566666666667,-10.333666666666659,-21.117847411444114,0.030123551925003322,-14.93257310869491,*
1mw,5hz,2,14.78200000000001,10.527000000000001,4.2550000000000106,8.613360323886681,0.07358131402463414,6.090565493823429,ns
20s,2hz,3,13.265999999999996,35.95066666666667,-22.684666666666676,-2.8692162080867956,0.10303708809577172,-1.6565427501021488,ns
20s,5hz,15,21.213944444444444,24.713366666666662,-3.499422222222218,-1.7220197537208677,0.10707502981271978,-0.44462358853340783,ns
20s,5s,2,8.695749999999995,18.009107142857143,-9.313357142857148,-1.7001825531360024,0.33847618122496614,-1.202210612577525,ns
20s,Far Light Control,2,8.695749999999995,31.288,-22.592250000000007,-276.35779816514525,0.0023035969966618,-195.4144731163574,**
2hz,5hz,5,31.616666666666674,19.3817,12.23496666666667,12.677002065604613,0.0002229874265086225,5.669327673919432,***
2hz,5s,2,39.286500000000004,18.009107142857143,21.27739285714286,3.827139636022587,0.16270577338370998,2.7061963891793868,ns
2hz,Far Light Control,2,39.286500000000004,31.288,7.9985000000000035,inf,0.0,0.0,***
5hz,5s,2,28.534,18.009107142857143,10.524892857142857,1.97962583548853,0.2977826546949819,1.3998068524860243,ns
5hz,Far Light Control,2,28.534,31.288,-2.7539999999999996,-11.333333333333316,0.0560272341018991,-8.013876853447528,ns
5s,Far Light Control,2,18.009107142857143,31.288,-13.278892857142857,-2.3884588453706264,0.2524231861856507,-1.6888954461465613,ns
