ROI,Group_A,Group_B,n_A,n_B,Mean_A,Mean_B,p_value,Significance
ROI.09 [],20s,5hz,4,1,24.282249999999998,22.78800000000001,1.0,ns
ROI.10 [],20s,5hz,4,2,24.5295,31.778,0.8,ns
ROI.11 [],20s,5hz,3,2,20.783333333333328,31.778,0.4,ns
ROI.12 [],20s,5hz,3,1,22.121333333333336,24.27799999999999,1.0,ns
ROI.13 [],20s,5hz,3,1,21.787333333333336,24.27799999999999,1.0,ns
ROI.14 [],10s,20s,1,3,27.777,22.114000000000004,1.0,ns
ROI.14 [],10s,5hz,1,1,27.777,24.77799999999999,1.0,ns
ROI.14 [],20s,5hz,3,1,22.114000000000004,24.77799999999999,1.0,ns
ROI.16 [],20s,5hz,5,1,24.685200000000002,24.77799999999999,1.0,ns
ROI.17 [],10s,20s,1,5,33.277,24.6838,1.0,ns
ROI.17 [],10s,5hz,1,2,33.277,18.52799999999999,1.0,ns
ROI.17 [],20s,5hz,5,2,24.6838,18.52799999999999,0.8571428571428571,ns
ROI.18 [],20s,5hz,5,1,24.579,24.27799999999999,1.0,ns
ROI.19 [],20s,2hz,4,1,22.406499999999994,29.279,1.0,ns
ROI.19 [],20s,5hz,4,2,22.406499999999994,18.78649999999999,1.0,ns
ROI.19 [],2hz,5hz,1,2,29.279,18.78649999999999,1.0,ns
ROI.20 [],20s,5hz,3,2,22.448666666666668,19.02799999999999,1.0,ns
ROI.21 [],20s,5hz,3,1,21.613999999999994,24.27799999999999,1.0,ns
ROI.22 [],20s,2hz,3,2,8.613999999999997,39.286500000000004,0.2,ns
ROI.22 [],20s,5hz,3,1,8.613999999999997,28.291,1.0,ns
ROI.22 [],20s,5s,3,6,8.613999999999997,12.449499999999999,0.7142857142857142,ns
ROI.22 [],20s,Far Light Control,3,1,8.613999999999997,31.288,1.0,ns
ROI.22 [],2hz,5hz,2,1,39.286500000000004,28.291,1.0,ns
ROI.22 [],2hz,5s,2,6,39.286500000000004,12.449499999999999,0.14285714285714285,ns
ROI.22 [],2hz,Far Light Control,2,1,39.286500000000004,31.288,1.0,ns
ROI.22 [],5hz,5s,1,6,28.291,12.449499999999999,1.0,ns
ROI.22 [],5hz,Far Light Control,1,1,28.291,31.288,1.0,ns
ROI.22 [],5s,Far Light Control,6,1,12.449499999999999,31.288,1.0,ns
ROI.31 [],1mw,2hz,1,3,14.288000000000013,25.111000000000004,1.0,ns
ROI.31 [],1mw,5hz,1,2,14.288000000000013,10.527000000000001,1.0,ns
ROI.31 [],2hz,5hz,3,2,25.111000000000004,10.527000000000001,0.8,ns
ROI.B [],20s,2mw,1,1,9.778000000000006,25.777,1.0,ns
ROI.D [],20s,2hz,2,2,8.777499999999993,39.286500000000004,0.3333333333333333,ns
ROI.D [],20s,5hz,2,1,8.777499999999993,28.777,1.0,ns
ROI.D [],20s,5s,2,7,8.777499999999993,23.568714285714286,0.8888888888888888,ns
ROI.D [],20s,Far Light Control,2,1,8.777499999999993,31.288,1.0,ns
ROI.D [],2hz,5hz,2,1,39.286500000000004,28.777,1.0,ns
ROI.D [],2hz,5s,2,7,39.286500000000004,23.568714285714286,0.5,ns
ROI.D [],2hz,Far Light Control,2,1,39.286500000000004,31.288,1.0,ns
ROI.D [],5hz,5s,1,7,28.777,23.568714285714286,1.0,ns
ROI.D [],5hz,Far Light Control,1,1,28.777,31.288,1.0,ns
ROI.D [],5s,Far Light Control,7,1,23.568714285714286,31.288,1.0,ns
ROI.E [],10s,20s,1,4,27.777,24.782750000000004,1.0,ns
ROI.E [],10s,5hz,1,1,27.777,24.27799999999999,1.0,ns
ROI.E [],20s,5hz,4,1,24.782750000000004,24.27799999999999,1.0,ns
ROI.F [],1mw,2hz,1,3,15.27600000000001,25.120333333333335,1.0,ns
ROI.F [],1mw,5hz,1,2,15.27600000000001,10.527000000000001,1.0,ns
ROI.F [],2hz,5hz,3,2,25.120333333333335,10.527000000000001,0.8,ns
