Term,Coefficient,Std_Error,z_value,p_value,Significance
Intercept,29.610333330578364,7.461411030265278,3.9684629637037454,7.233769693498797e-05,***
C(condition_group)[T.1mw],-14.828333317110822,12.700654599087553,-1.167525122537867,0.2429983688907763,ns
C(condition_group)[T.20s],-7.800787878267908,7.616345847160815,-1.024216603973656,0.3057329779007911,ns
C(condition_group)[T.2hz],1.0368484962565567,9.042805546539977,0.11466004559318242,0.9087145839926446,ns
C(condition_group)[T.2mw],-4.329333329225795,10.559292897789032,-0.41000220101218116,0.6818043329635601,ns
C(condition_group)[T.5hz],-7.414208330280144,7.9185046349839086,-0.9363141997195044,0.34911143925159893,ns
C(condition_group)[T.5s],-11.173564097817067,8.34958080660083,-1.3382185712824906,0.1808251969207011,ns
C(condition_group)[T.Far Light Control],1.6776666725273748,11.856413953087797,0.14149865879897486,0.8874760195066315,ns
ROI (random effect var),5.5631925506181024e-08,,,,
