Time (s),ROI.01 [],ROI.02 [],ROI.03 [],ROI.04 [],ROI.05 [],ROI.06 [],ROI.07 [],ROI.08 [],ROI.09 [],ROI.10 [],ROI.11 [],ROI.12 [],ROI.13 [],ROI.14 [],ROI.15 [],ROI.16 [],ROI.17 [],ROI.18 [],ROI.19 [],ROI.20 [],ROI.21 [],ROI.22 [],ROI.23 [],ROI.000 []
0.258,,0.041641691032358326,0.7715533770547633,0.027654895455304328,0.042797641755368036,0.023327510834307327,0.025830737685651344,0.047541655108444755,0.03309466124091521,0.15460282139677964,-0.026803724475411454,0.08274506276697814,0.036280437719781074,-0.023868522802914845,-0.03054285243280119,-0.033122731184748795,0.16461061896819035,0.08668815302129314,0.03449999399965882,0.002497646606495588,0.007116957295101675,0.04150352025071016,0.03183155659515658,-0.2039503530430434
0.776,,0.054238046215358555,0.8273923908315796,0.013019612694257042,0.012387588798445235,0.0063861988417973315,0.008929826512140453,0.0034282394359527596,0.02816134122776778,0.13700739376184248,-0.009763214478098466,0.02259113191925236,0.007790147271788207,-0.013235146879765661,-0.011890051762665641,-0.014702839074573641,0.1458560392820911,0.02754884927037902,0.014129954703330675,0.006332213838651703,0.01168976020998434,0.03269517281827621,0.012731400252145059,-0.15500406786821028
1.286,,0.04676381263883741,0.7578655756218978,0.01990001427466245,0.016255341143809346,0.003155648696293324,0.010113722598263156,0.0234359321630692,0.02475277900027533,0.11843449870126095,-0.010049601932031298,0.03296786578470519,0.008210301496997493,-0.009651076359747957,-0.010804509782990432,-0.018244521658902217,0.1317840032038533,0.031138456193741806,0.01200127583689087,-0.004542019703887756,0.0015771097804477394,0.023396719622358324,0.010447289234102248,-0.07930546687187381
1.777,,0.04917333199336689,0.6996101100498082,-0.0118099076791942,-0.01123231469602622,-0.0023692286733446497,-0.0076109502953628175,-0.0030917750995514094,0.030946747403492476,0.1080928264396684,0.007512037121433752,-0.020611399636261078,-0.006174624632703254,0.007215096121939128,0.00807430270970352,0.013116842274439653,0.12367050066834791,-0.023598785393708903,-0.009037109157590966,-0.0023260059135554634,0.006551266251144959,0.021817428596953636,-0.0078628487439206,0.057947255438409694
2.286,,0.023102945663598703,0.6267888638456424,-0.01898567108268203,-0.04808762741999761,-0.0158226043894437,-0.020992472496532466,-0.008861261209249047,0.01959376919705146,0.09386303784856331,0.011890840634733044,-0.026911707076363114,-0.0257846011241327,0.024522313497102356,0.011291518017741498,0.02364403575783329,0.1092970065740756,-0.05280313798646365,-0.021958779607523342,-0.00027860616871977565,-0.002025919769488091,0.02112658602351883,-0.019282207700089423,0.18313059584531696
2.779,,0.03723163093491841,0.43917186336874403,-0.034006888624082895,-0.053641299216320645,-0.03493179004849149,-0.032730817193573465,-0.008573488756647997,0.022236943372071022,0.08487706688851576,0.02170833979508027,-0.06837354347284141,-0.04522880150250813,0.041355716242435246,0.017924399597735247,0.04152918608464081,0.09640510046179782,-0.08109092229700196,-0.028372026440233632,0.002700328144501582,0.008337596203594425,0.014405746425349827,-0.025930469611313112,0.25745368901302024
3.278,,0.0313914795187829,0.3933561148881061,-0.03426758079091639,-0.04836350789156269,-0.03034641565117792,-0.031932909485936314,-0.015581357613100616,0.015040124919901605,0.07176200204541562,0.01959555412732085,-0.06071899480375668,-0.0433247418066996,0.049181286505796694,0.019724426959194644,0.04446878627486874,0.08432139310404656,-0.08348617669591284,-0.030943704892808246,8.705836397566633e-05,0.013402523225524402,0.0198985698921948,-0.02516046968874691,0.24333127369614826
3.777,,0.03839248213079248,0.3287298464414362,-0.04090118662244761,-0.061603561664964765,-0.037738621629086415,-0.042279670729557885,-0.02086299096397704,0.017619706768281222,0.06549599837155894,0.03332216875385243,-0.08839375160891394,-0.06112079515205152,0.053944978061099595,0.035547282897775465,0.05192453311090289,0.08157609270707997,-0.12470392841311295,-0.04038472243548975,0.004194711192666715,0.013664088573052157,0.02229305578064522,-0.04096995333390069,0.3208219521521797
4.277,,0.042479252867009515,0.29533896822955324,-0.07252692646847873,-0.09516838800588126,-0.05037145358271625,-0.05553058424625367,-0.03997626674885319,0.025069842277729928,0.062073878637498754,0.03514286951423973,-0.1122014826216749,-0.07811273184760278,0.07344627511161754,0.04852309881008322,0.07612520469384249,0.07762408425574521,-0.1476905168363842,-0.05655609489868512,0.007365460727651709,0.0060574761073028715,0.027162972678186327,-0.057503959487863625,0.47654669637730684
4.778,,0.07642943697465272,0.3053283215630422,-0.10426920665023716,-0.1386824875037056,-0.069855649928497,-0.07523099455254717,-0.06469968468715467,0.029106720628087956,0.056508650730623756,0.05613722590678752,-0.14752622053031467,-0.09364057361160269,0.09961304134343157,0.06966715040223816,0.0991421780558621,0.08393047566292174,-0.20214080607393445,-0.07991023311177047,0.010506694213970002,0.00430793052570112,0.024611771930641044,-0.07031503753782899,0.5608280955607712
5.279,,0.06599863987588456,0.29175591799515416,-0.09965221165971806,-0.12791781664971238,-0.061675338797464556,-0.06871788372552722,-0.07113757538200635,0.03067242903048453,0.050606621921465825,0.060162199386770955,-0.1722582102843113,-0.09282907666993245,0.10642040874442124,0.06785399317210965,0.10330848404106353,0.07098628450626608,-0.20372633137418036,-0.0750820628304395,0.009018205260599236,0.009985867003805438,0.018773130565801238,-0.07652892492739805,0.6008939981547575
5.778,,0.05443880491740018,0.18600706119927976,-0.10791231190365946,-0.12770949057179784,-0.06316603098699893,-0.08854060224075173,-0.07641579448819356,0.030333213432714844,0.048755267877918416,0.05713450340327567,-0.17420719561100495,-0.0989768001644831,0.10676634903465002,0.07251677473064601,0.10306811422426214,0.06314080151749697,-0.20484469250724724,-0.07670213491419209,0.009293386732664971,0.013802312052224605,0.015687961181663525,-0.07656155366463485,0.6258979562006866
6.278,,0.05832371094260464,0.25145123143715004,-0.11389700048404708,-0.1487146414776884,-0.0836855517651465,-0.10002199380181813,-0.10045777416847573,0.03310840508647115,0.04679616540160994,0.07039586576785334,-0.19879433714672878,-0.11699345321673416,0.12300491959260267,0.0871624608461846,0.1210802306760603,0.06164297508344225,-0.24375791786021406,-0.09231916036234913,0.005773560552918098,0.011815441319673044,0.018913375854252432,-0.09050752659166904,0.7199828483043987
6.788,,0.033445763820574084,0.20064517005674726,-0.13300880192465692,-0.17317528632416657,-0.1108979438886473,-0.11382025448709278,-0.12157281988995282,0.0394691920471954,0.045998640366386664,0.0830163508838144,-0.24176086849916245,-0.1330682197579628,0.14125880622820533,0.10105822483778414,0.14152622405560003,0.0643694661387877,-0.28324129386589963,-0.1036476350474927,0.011861526849773658,0.02709970919594432,0.021149245848491795,-0.1024941529877007,0.8088159564401527
7.278,,0.006411762528008908,0.19301565947781882,-0.14803685738414807,-0.20421389995053998,-0.11891049697978265,-0.1146824882753267,-0.10979795274276925,0.03810259860195205,0.0402059873985783,0.06471566412242558,-0.2234436729384936,-0.1382172565557005,0.13372970648243088,0.1043436685034102,0.14696530582422698,0.05421913418735208,-0.2599631997750373,-0.10728349074345563,0.010146142988117791,-0.002886701266853021,0.01619666466020093,-0.107174178838231,0.8421088142742169
7.778,,0.012433506457763767,0.18350681384509604,-0.1534585967246417,-0.18494872857462172,-0.11299050769454581,-0.10243155153541073,-0.09810717656681445,0.03240066138108325,0.03919036843321961,0.06313128059960577,-0.2296147723768808,-0.13340973501221456,0.13934199304535258,0.10292397034702971,0.14368553809661433,0.042913997010571796,-0.26289730404514194,-0.10234141634990716,0.011996535578715066,-0.005709129810760217,0.01893631025022218,-0.10409190493221908,0.8036521539743592
8.284,,0.011200738329264734,0.22909180205466112,-0.15834288489620682,-0.19547336916444116,-0.12244169237975377,-0.11371699360913973,-0.11871750824864295,0.031082838239799536,0.041069819994602914,0.06796382306965518,-0.23895104804002587,-0.1373729759459309,0.14926509641852578,0.10661071171752311,0.15107304558956736,0.03667714492673552,-0.28083656838273774,-0.1129304237116375,0.016300769232773352,-6.491765664259795e-05,0.01898900056305457,-0.11036131514449092,0.894087140287084
