Time (s),ROI.01 [],ROI.02 [],ROI.03 [],ROI.04 [],ROI.05 [],ROI.06 [],ROI.07 [],ROI.08 [],ROI.09 [],ROI.10 [],ROI.11 [],ROI.12 [],ROI.13 [],ROI.14 [],ROI.15 [],ROI.16 [],ROI.17 [],ROI.18 [],ROI.19 [],ROI.20 [],ROI.21 [],ROI.22 [],ROI.23 [],ROI.000 []
0.257,-0.1790988593280247,0.14190040149441818,-0.6424227974410002,-0.05297032214059432,-0.054455656558562646,-0.04961852308477256,-0.04160627880742994,-0.07414871580649544,0.07445902464607208,0.12264833851243002,0.052875195142631434,0.002471801355345997,-0.0038050262275713355,0.005744222232541462,0.019321010475456667,0.016158630797435923,0.0855071272457128,-0.010696019905375687,-0.00456692125728995,0.04559325265089517,0.18288440141205292,0.06689224770855608,-0.019299810677264495,
0.783,-0.16777728753691676,0.11429471596954169,-0.5068624027252144,-0.05149581269855452,-0.03309674084294122,-0.04118833641119191,-0.02798929387639305,-0.040626162547882774,0.0647856660585196,0.10475803698709617,0.05179327704392153,-0.02874556845260633,-0.011753048631018113,0.008553883273916525,0.01449332645726407,0.008967307666196944,0.07339246423553618,-0.020828027000471983,-0.0012132643851016749,0.04155425819985229,0.17530810150678988,0.05402607608525624,-0.014066840596810288,
1.276,-0.14974326331465196,0.09212078787197281,-0.3683914177138671,-0.0471912278930459,-0.03670953901430856,-0.0391364864115722,-0.025276529020221233,-0.03665900579913692,0.05549240608912816,0.08049077290637113,0.044649505250895664,-0.02258706320912138,-0.008525197961299249,-0.0028059108985803733,0.015046662752635788,0.010928028459853618,0.06937373929449771,-0.014738941611569913,-0.0011620932557867272,0.03773210283461391,0.15825712517215135,0.04101531247720502,-0.014880962370982695,
1.794,-0.12417330608856517,0.08999561968697321,-0.2541997103529629,-0.05030659540261482,-0.032624524350629014,-0.03328948400773879,-0.020602010278419496,-0.0362889012841892,0.049646867346490174,0.06903440958261553,0.05246603476644987,-0.03446912973923803,-0.010350311355304499,0.0009166185733396854,0.008399859750119334,0.00610130694975601,0.07553908076324344,-0.030439225573443477,-0.007728133870382709,0.02427830042596631,0.14010210586226274,0.040406025469549085,-0.014946364530604122,
2.276,-0.12162217446931353,0.06269031513743353,-0.3873095590522803,-0.045127668631464675,-0.03266058491701912,-0.03456447636102659,-0.025855846656540733,-0.045098700854953,0.051197867103901326,0.06702511426919261,0.04778501428993491,-0.030679530699517062,-0.014082800532272415,0.008048796670212185,0.017475126071192365,0.016325498464988476,0.07156462687034396,-0.029399013904960303,-0.009380727987122249,0.022208121845444437,0.1444087567062606,0.03879214403150308,-0.02046565121668033,
2.787,-0.09414190161534745,0.03821983837659778,-0.34185114598052313,-0.04203891443793569,-0.02869234829070553,-0.02122791947943903,-0.015587106275376947,-0.02657650846016812,0.046819714119045897,0.0609395771756209,0.04015892163730724,-0.03391810945500549,-0.011519999768482475,0.0026907271185784036,0.012599894652310487,0.007077922890386231,0.060529926835276304,-0.027652296040614945,-0.0033265096608640723,0.01956406151547147,0.12434115357028415,0.03704774361764143,-0.013084128370074144,
3.277,-0.08183848983301018,0.0007360881925165056,-0.3901327208112944,-0.04789459660412347,-0.030518305066541247,-0.02388570580768087,-0.007698573021615435,-0.015658977907805936,0.04107417498202343,0.05212605902727468,0.02948459456902065,-0.020035951154974627,-0.002994528465421439,0.006672194222406374,0.011993034459386816,0.00012757805059970248,0.048777423238628215,-0.010755764265981889,-0.005547089776257731,0.012193278634822802,0.12443659420917304,0.03738668252905718,-0.009250959769167722,
3.788,-0.05407670562813108,0.016059725799568277,-0.3367735405080851,-0.03258359914062937,-0.028199646386534546,-0.012271402635180326,-0.016849307809688463,-0.0239283446629059,0.03008485761201424,0.05088456682009698,0.03688277001514744,-0.026046812132316022,-0.00743312420165837,0.010940248516138278,0.012078362260678743,0.006520492143204609,0.04661891558554463,-0.02256689821817227,-0.0044085940177644185,0.008778754407912365,0.1257874930530983,0.04293172335842461,-0.009781494037252291,
4.276,-0.03550019284380948,0.02927353741146623,-0.2218545513911775,-0.04368849472380224,-0.03314888978829478,-0.02366324875324185,-0.013881095385303587,-0.025049790056074547,0.021872986470433058,0.03765341238993078,0.03654090802888227,-0.02421552037011306,-0.007166161651880062,0.008383970329473103,0.012045929954225723,0.010874454728870648,0.04564502084043511,-0.013625562781184614,-0.006736790238629264,0.0214314335295134,0.11392325157862872,0.036690884662526985,-0.009817441397406857,
4.778,-0.04339592821220829,0.04279496275138956,-0.22279179526054638,-0.05228488317412126,-0.03562829297454366,-0.014254396846321219,-0.01659795775668872,-0.024489289247829667,0.019828078617795404,0.040901760930443856,0.044205663928049324,-0.02653931101277758,-0.010506675487330641,0.00906948759894589,0.013762795734811513,0.013623634054268299,0.0457839933488531,-0.024690219158155693,-0.011338714528019487,0.02513898567684846,0.12886875465394462,0.0342785201210493,-0.014779614285243188,
5.287,-0.030855508520179636,0.025479333871391424,-0.25417873566229326,-0.0545390985935365,-0.029465094702926117,-0.009715444024571166,-0.014465096844988375,-0.026323590620879387,0.017910825847588085,0.03129750380539109,0.03353050555258289,-0.019015443089132104,-0.00873763006229551,0.008096990399349129,0.006848541515831325,-0.0011686744805316875,0.038474283551869055,-0.011970516388962137,-0.00902266631295501,0.02277433402050299,0.12245324409617848,0.018705006907110345,-0.010874425498254778,
5.777,-0.03387265559531156,0.09488087957235518,-0.17792300670648092,-0.058660768568771546,-0.03598891073625073,-0.019502159254283356,-0.00990394451327456,-0.015833835997274368,0.01918678820415267,0.023244559504169714,0.04063496270228056,-0.017896770970434885,-0.009516128182173924,0.0048098061779716945,0.00864626763293463,0.007301896129801187,0.035777712178005475,-0.017397553283826958,-0.010943217653515021,0.022133977505184973,0.1261414583808831,0.022661975020188786,-0.014086741575374923,
6.276,-0.054312895747386444,0.11455997702840662,-0.49216134362793523,-0.06172036869705964,-0.02933694067002265,-0.015293703071555802,-0.012231850532540238,-0.022232589586715385,0.016146604480661936,0.025529561913404275,0.04361124068586814,-0.023926401643130042,-0.009527043683564699,0.010527016422501268,0.010107726728181275,-0.004542293207414008,0.035941493945438996,-0.021673131604573032,-0.009662286819079761,0.01365663205733301,0.14755332606247634,0.02348005186626212,-0.013995701021060833,
6.777,-0.10031115390735076,0.12374115810629359,-0.6508204508897862,-0.06660320949785514,-0.02596189941045397,-0.018587312107136822,-0.0076245744715355305,-0.025075054976478373,0.013437336596986905,0.01945720151586742,0.05530278626991876,-0.029257273526620914,-0.0036405379371069616,-0.0061939696486008385,0.012406566755594543,0.0007910629615472401,0.03965310064114557,-0.018144374988347083,-0.005183955951166266,0.012670084737752323,0.17749819101861142,0.02134388922402843,-0.010395594176830657,
7.288,-0.10399819144140136,0.13494805535427803,-0.6271880639674793,-0.08359833889367976,-0.034615377446245064,-0.013864019642508546,-0.010649338147735667,-0.025003895509880754,0.01422483247657582,0.023186399027391374,0.05775308370434359,-0.03418608507045115,-0.009404380916683755,0.013464233124676402,0.012444033340832838,0.012611937073952854,0.04074834118679822,-0.036641246500398114,-0.006046878695207944,0.006565173845049006,0.17748719359745813,0.022707014030058155,-0.012722279191489359,
7.778,-0.11192083771237361,0.1505209639124506,-0.6282032371938385,-0.07531011606676229,-0.026164668210983604,-0.027442691942057954,-0.012852591068803406,-0.029497898928983073,0.013974597122497772,0.014864749654382226,0.06760430999550489,-0.06092463261708152,-0.0189045110452044,0.019763070853027438,0.02252706188817263,0.020738659163120333,0.04232688738743681,-0.0548987251968579,-0.011896752523787656,0.009127614058558615,0.16474695538461157,0.022437956400926187,-0.013835127599377257,
8.277,-0.11946676107365299,0.1234602534154234,-0.5785550989256051,-0.08829429569589586,-0.03464828102945504,-0.03201250336360766,-0.014013660812273593,-0.014729929725423063,0.013561969250197476,0.030920276763836282,0.053976806486968065,-0.040186394872216334,-0.016099109373477995,0.012254877414662182,0.01811221918017185,0.014878522906629821,0.03989428935771092,-0.03517787883808003,-0.011903513850915502,0.010631398181935838,0.1463592351022487,0.019250464716127118,-0.018665995330595438,
8.777,-0.09512528912325792,0.2017741163350516,-0.5645587374088744,-0.07330163537711049,-0.015217698733943087,-0.019160416528255834,-0.005071276202306546,-0.006262068609214288,0.007844618228078689,0.022202660508938106,0.04349256782567386,-0.020971512385035616,-0.00912113985770965,0.009253329570135051,0.009466872265713517,0.003206962885079241,0.03504122262778689,-0.02203120207630351,-0.009051974897863678,0.0026876993847002955,0.11668758361541648,0.01148094470620849,-0.008397656390002922,
9.288,-0.08698611172246187,0.15906905905473478,-0.48886822632138277,-0.06907592191536856,-0.018339094258869364,-0.02583173210534756,-0.002426634298308356,-0.005559372104452201,0.0064889843326477676,0.016141869339293662,0.03603629841202708,-0.028218102479601558,-0.007365567623271067,0.008930377622439497,0.010709005502083384,0.00866717467228477,0.034194432321027056,-0.022158141583218233,-0.007194675144848187,0.002267446567626828,0.08703777012915036,0.014133369495106282,-0.01086046574433894,
9.776,-0.09326493999338409,0.12867195806658585,-0.4416583694847525,-0.055472996616481564,-0.014584241646999133,-0.018376026429573523,-0.007173322738180188,-0.022178095992951466,0.002272141074429854,0.006221025878875443,0.029075400336709616,-0.02395549391529841,-0.00459422336970866,0.006587090616574202,0.004422082051697993,0.005806746549099234,0.02485875404676942,-0.022833294923610185,-0.00560754197021955,0.010830841385502185,0.07640875142447864,0.012298048763069358,-0.008886874720530326,
10.284,-0.07574725309128905,0.13798453059214477,-0.3122811962442546,-0.05584024252333089,-0.016824958591044433,-0.014865010687145285,-0.013198938171162614,-0.022486342071129532,0.008124688282006364,0.01958967968142108,0.03130766885036128,-0.02124814071358057,-0.0062307456390503,0.007603842674912379,0.010850191676471409,0.011545836844188152,0.0344833437987735,-0.025670962516499172,-0.005079235310786134,0.0061235921718070995,0.06411822514158713,0.016326855589262376,-0.00616348135839845,
