ROI,n_spikes,spike_times_s
ROI.08 [],4,32.788;66.278;106.779;143.787
ROI.02 [],4,33.276;68.287;107.283;143.277
ROI.03 [],4,31.777;66.278;104.784;143.787
ROI.21 [],4,36.776;72.276;112.776;150.776
ROI.14 [],2,33.276;154.278
