ROI,mean0,sd0,thr
ROI.02 [],-0.5473603484629834,0.36496697800028355,0.5475405855378672
ROI.03 [],0.012336837171519935,0.006677030964575604,0.03236793006524675
ROI.04 [],0.005966173864751555,0.009734985770192979,0.03517113117533049
ROI.05 [],-0.013993460013270866,0.009466952971917892,0.014407398902482809
ROI.06 [],0.008683184406386692,0.006350209627716301,0.027733813289535593
ROI.07 [],-0.015965438678783587,0.012719672552080388,0.022193578977457575
ROI.08 [],0.013242302478178864,0.009955958461704146,0.0431101778632913
ROI.09 [],-0.013242330628297341,0.012259886781822583,0.02353732971717041
ROI.10 [],-0.018949176147254713,0.007742576875022107,0.004278554477811607
ROI.11 [],0.01955581861478549,0.011811819353933837,0.054991276676587
ROI.12 [],0.031270893781390405,0.02231480600415999,0.09821531179387037
ROI.13 [],-0.030683363015188602,0.01806517356762083,0.023512157687673885
ROI.14 [],-0.019037100738692435,0.013512482785496561,0.021500347617797247
ROI.15 [],0.012598892501798445,0.012936496682442412,0.05140838254912568
ROI.16 [],0.03262934812785551,0.0210114331870541,0.0956636476890178
