Group_A,Group_B,n_A,n_B,Mean_A,Mean_B,p_value,Significance
10s,20s,3,6,1.0,3.1666666666666665,0.11979493042591832,ns
10s,2Hz,3,3,1.0,2.0,0.19670560245894686,ns
10s,2mW,3,1,1.0,3.0,1.0,ns
10s,5Hz,3,2,1.0,1.5,0.4142161782425252,ns
10s,5s,3,4,1.0,1.5,0.2635524772829727,ns
10s,Ctrl,3,1,1.0,2.0,1.0,ns
20s,2Hz,6,3,3.1666666666666665,2.0,0.6911022238448428,ns
20s,2mW,6,1,3.1666666666666665,3.0,1.0,ns
20s,5Hz,6,2,3.1666666666666665,1.5,0.4918054589303207,ns
20s,5s,6,4,3.1666666666666665,1.5,0.3159124104094966,ns
20s,Ctrl,6,1,3.1666666666666665,2.0,1.0,ns
2Hz,2mW,3,1,2.0,3.0,1.0,ns
2Hz,5Hz,3,2,2.0,1.5,0.7609067270751141,ns
2Hz,5s,3,4,2.0,1.5,0.5667652473884979,ns
2Hz,Ctrl,3,1,2.0,2.0,1.0,ns
2mW,5Hz,1,2,3.0,1.5,1.0,ns
2mW,5s,1,4,3.0,1.5,1.0,ns
2mW,Ctrl,1,1,3.0,2.0,1.0,ns
5Hz,5s,2,4,1.5,1.5,1.0,ns
5Hz,Ctrl,2,1,1.5,2.0,1.0,ns
5s,Ctrl,4,1,1.5,2.0,1.0,ns
