ROI,Group_A,Group_B,n_A,n_B,Mean_A,Mean_B,p_value,Significance
ROI.01 [],blue,red,1,9,20.777,17.724333333333337,1.0,ns
ROI.02 [],blue,red,2,1,20.276000000000003,24.777,1.0,ns
ROI.03 [],blue,red,1,4,20.777,33.4065,1.0,ns
ROI.05 [],blue,red,2,1,20.776000000000003,3.7760000000000034,1.0,ns
ROI.06 [],blue,red,1,9,20.777,20.889555555555553,1.0,ns
ROI.07 [],blue,red,1,12,20.777,15.237083333333333,1.0,ns
ROI.08 [],Ctrl,blue,1,9,61.27799999999999,34.834333333333326,1.0,ns
ROI.08 [],Ctrl,red,1,3,61.27799999999999,37.781,1.0,ns
ROI.08 [],blue,red,9,3,34.834333333333326,37.781,1.0,ns
ROI.10 [],blue,red,2,1,20.276000000000003,25.289,1.0,ns
ROI.13 [],Ctrl,blue,8,8,36.403999999999996,30.026874999999997,0.5737373737373737,ns
