Time (s),ROI.01 [],ROI.02 [],ROI.000 [],ROI.04 [],ROI.05 []
0.257,-0.0033567293642860195,-0.02154533276503764,0.0,0.05282120097831858,-0.0017527581520405872
0.778,0.005445545605545486,0.013801749857546885,0.0,0.17995295141331652,0.022446458710343464
1.277,0.05188804552977793,0.023812355441434722,0.0,0.15803383774633126,0.00877172187235772
1.775,0.024611732212014893,0.013845718802486091,0.0,0.1304713749809495,0.06739155042737675
2.287,0.046057885668783535,0.0376858397134869,0.0,0.11778815573417056,0.08116787487040188
2.779,0.037560809821252816,0.038788195338228505,0.0,0.11666992080978558,0.02334139330197967
3.277,0.11433889868093589,0.05278484283290583,0.0,0.247215701406976,0.06744449487441613
3.777,0.07912320267921853,0.03034225211992529,0.0,0.19191110867267616,0.05553112694062669
4.286,0.06646847935178743,0.033069988160112765,0.0,0.1499863945153607,0.005266351266220968
4.777,0.07245679818627274,0.030927276784236183,0.0,0.1355293436036486,0.013888840018841515
5.278,0.039521149503360345,0.020064815127829944,0.0,0.08652772567405903,-0.026073753138193916
5.785,0.058854890327426995,0.017704110205781384,0.0,0.140086516218178,0.00990180211465158
6.288,0.08466232615538173,0.03806328228245776,0.0,0.12628659100167702,0.03895178784727633
6.777,0.052127881377905784,0.01652198748868309,0.0,0.0010281508201130623,0.12288990133850765
7.278,0.05523056301643547,0.03367613671480952,0.0,0.11096138251367489,0.19298498638143932
7.784,0.04999799338441268,0.020826344337669715,0.0,0.08782887000407488,0.08927608077585594
8.284,-0.0015713498941757073,0.013205000753310303,0.0,0.03672110759531994,0.06348642497596614
8.776,0.06855646604666284,-0.0011699677921310173,0.0,0.13079128726463174,0.042826712276428355
9.292,0.12274138392924105,0.03745663028117451,0.0,0.11017549205823281,0.01856446090485572
9.776,0.11524222677824739,0.022884623322768936,0.0,0.058794724337504566,0.0007026584043648387
10.285,0.1019264118779876,0.026718606003489267,0.0,0.07308343842616866,0.011831296194426577
10.776,0.02335365296928246,-0.0019355714285537,0.0,0.16183163524421335,0.041397792875081975
11.277,0.07515010426632908,0.02874925075905389,0.0,0.10198436855436152,0.06004819930864194
11.777,0.09159083551900893,0.025316194761284883,0.0,-0.013362357470331418,0.018603592789291624
