ROI,n_spikes,spike_times_s
ROI.01 [],3,35.276;88.277;148.776
ROI.02 [],3,31.777;93.778;145.778
ROI.03 [],3,34.277;88.277;148.776
ROI.05 [],3,31.777;93.279;144.776
ROI.06 [],3,31.777;93.279;144.776
ROI.07 [],3,44.277;100.277;137.275
ROI.10 [],3,35.276;100.778;148.776
