ROI,n_spikes,spike_times_s
ROI.20 [],12,17.285;37.778;46.277;65.777;75.278;84.777;91.276;108.777;139.777;159.288;173.777;180.277
ROI.F [],1,187.777
ROI.16 [],1,46.277
ROI.31 [],1,187.777
