ROI,n_spikes,spike_times_s
ROI.08 [],4,41.276;88.778;140.776;186.276
ROI.10 [],4,41.276;88.778;140.776;186.276
ROI.03 [],3,86.277;140.776;183.778
ROI.02 [],3,90.778;140.776;189.777
ROI.01 [],3,86.277;140.776;183.778
ROI.05 [],3,87.278;133.277;185.278
ROI.04 [],3,86.277;133.277;185.278
ROI.07 [],3,85.277;133.277;183.778
ROI.06 [],3,87.278;135.777;183.778
ROI.09 [],3,90.279;140.776;186.276
ROI.11 [],3,90.279;140.776;185.278
ROI.12 [],3,87.278;133.277;185.278
ROI.13 [],3,90.778;140.776;184.778
