Time (s),ROI.01 [],ROI.02 [],ROI.03 [],ROI.04 [],ROI.05 [],ROI.06 [],ROI.07 [],ROI.08 [],ROI.09 [],ROI.10 []
0.258,0.0,0.004477376976708342,0.011438187601785317,0.27616560354501973,-0.004154435797457297,-0.004154435797457297,0.02987311882354659,-0.023929035032506117,0.6804833499710434,0.11476595070798408
0.778,0.0,0.01299840381966245,0.020279921582956106,0.2596680334835525,-0.0008657499792260376,-0.0008657499792260376,0.022414054668128788,-0.006421732726554847,0.5745065833768281,0.15578503477446382
1.277,0.0,0.0014075970403055536,0.026871886781191578,0.20565056250793376,-0.00013911908631268922,-0.00013911908631268922,0.018003067460013362,0.012982706701480728,0.4556186234326315,0.18058972236744125
1.778,0.0,0.015880995648908023,0.024523382276456847,0.1949781744222331,0.00010434415348894874,0.00010434415348894874,0.018553627247315754,-0.0058919786779444375,0.4711254263736659,0.1329521373159961
2.277,0.0,0.01571223022693146,0.012976992510535718,0.1801559605067665,0.0006020750992946095,0.0006020750992946095,0.01770478313832325,0.010067187286192091,0.41235725387874467,0.08725377450086876
2.787,0.0,0.01929848427553069,0.003252402993076042,0.1622665272761157,0.0004329884249884648,0.0004329884249884648,0.014686987508222804,0.009399381341053569,0.30381367470022136,0.09024684472001378
3.277,0.0,0.01821120707331839,0.011867686256230678,0.14218474327699115,0.0004979523924976191,0.0004979523924976191,0.015139942416544388,0.0018439594793415452,0.2625677778947633,0.09509743234798335
3.777,0.0,0.015196452557683447,-0.0008228951993316052,0.10625661700311474,0.0005187187279324351,0.0005187187279324351,0.011616009976240549,0.010098496375116523,0.21812933691446634,0.04409083330474008
4.288,0.0,0.014241910814641524,0.012404740333042657,0.11120356542760265,0.0008363969027427602,0.0008363969027427602,0.01050188272950307,0.014344526298528604,0.16107793955709043,0.10973121464608653
4.777,0.0,0.005843491940600628,0.010306674013140992,0.06505630894697907,0.0009098517698620123,0.0009098517698620123,0.008705482005727114,0.016707048186090603,0.12916242154676108,0.0797418715378889
5.288,0.0,0.010065599664622362,0.007077375921360914,0.07567562523242537,0.0006802174579691071,0.0006802174579691071,0.008626977440662875,0.008386334847970314,0.09661734360973276,0.06991279484047526
5.778,0.0,0.004820170982388535,0.006418834447367889,0.0564628653253892,0.0005391576600986007,0.0005391576600986007,0.009923465418554996,0.015477583285223707,0.04025882623190752,0.030411435420227086
6.278,0.0,0.0003629505836300646,0.007673532885472239,0.06981861716124131,0.0011650491532306968,0.0011650491532306968,0.010092144743906486,0.02393534573406325,0.11436244761470886,0.06075645713972992
6.777,0.0,0.01358935308196983,0.009985852364316428,0.0598098645871725,0.0015270135647449956,0.0015270135647449956,0.004799862986404372,0.016169810597802755,0.14426775978136036,0.029969735577888203
7.278,0.0,0.00777147513881219,0.0017850325193813925,0.019520225865776824,0.0008162167337351258,0.0008162167337351258,0.006313097899729852,0.021280526901542623,0.008370820722193443,0.04441964274048409
7.777,0.0,0.015477765055297051,0.00978208765944089,0.06745269396136289,0.0015209427429150229,0.0015209427429150229,0.00629065830720083,0.027072834896993282,0.07902958762904247,0.04881334993565072
8.277,0.0,0.017129718216368942,0.010813240478505239,0.043109791649956535,0.0014826188817902463,0.0014826188817902463,0.0024797315577544674,0.014685633121181,0.01612996274249306,0.03996071976167137
8.787,0.0,0.0017893549234575929,0.005438521959399673,0.026871701189758238,0.0010832112120820702,0.0010832112120820702,0.004606348186544544,0.02391107248927898,0.013387525697335643,0.03565389618844078
9.277,0.0,0.01494136658835488,0.017527567754869144,0.042768042734591026,0.001120279284758055,0.001120279284758055,0.006020286164298818,0.02948085930717628,0.03717943602304307,0.01846412231428705
9.777,0.0,0.007153126535374018,0.0021446015384802113,0.0241168444957944,0.000807279210132509,0.000807279210132509,0.0034237823004804355,0.012691834760359988,0.01674042016925596,0.01820951386907077
10.295,0.0,-0.004827429714265686,-0.009663595282907384,0.04228150436746875,0.000746582374272179,0.000746582374272179,0.0060121398551916195,0.024757600086641157,0.06112367200943378,-0.0033683366964246658
10.784,0.0,-0.004709931682800708,0.008025304876277813,0.04297432485622161,0.0015658097017338865,0.0015658097017338865,0.004939848531241214,0.010129323225113842,0.004608854262984431,0.02715774404069081
11.286,0.0,0.014324487685147472,0.007065008383392565,0.026161107542445,0.001143595169819057,0.001143595169819057,0.0076866153439502155,0.02507905844787083,0.043057536326671544,0.018562903523389046
11.777,0.0,0.008194658130428457,0.0017208983822495812,0.011185418150612112,0.0011488596404629118,0.0011488596404629118,0.0036794680707670237,0.014722269564218324,0.013856420978485455,0.015793261892547872
12.278,0.0,0.0010644507053022294,-0.005152853261723332,0.009181898493605758,0.0013649299143997308,0.0013649299143997308,0.003384784528458425,0.02007612561738787,0.0006485738996092343,0.012849570674691526
12.795,0.0,0.005285668367337431,0.01101344675878342,0.038999095024594976,0.001838673993330837,0.001838673993330837,0.005399568658253268,0.023878893038429386,0.07202185528887492,0.003962411269444398
13.277,0.0,0.020962247363172152,0.005549149363653599,0.03234116589154848,0.001561168667644658,0.001561168667644658,0.001823798022002879,0.027241966236476515,0.05930099988054718,-0.011925189519979762
13.787,0.0,0.005628499439572565,0.001006007993082985,0.009356156406672325,0.001435681069555688,0.001435681069555688,-0.0004910940364168982,0.016263370024334155,-0.016236517882238576,0.002611486745990399
14.278,0.0,0.008896453339282054,0.008552358669356991,0.009006227348106546,0.0018032581754661694,0.0018032581754661694,6.459376855988003e-05,0.02979635206085379,-0.007563396476811875,0.050927068051394166
14.786,0.0,0.002299974317594683,0.004049538317881648,-0.006221734984466901,0.0016850844287919651,0.0016850844287919651,-0.0004059534993936983,0.02754349533874142,-0.013674220756449484,0.018162701293836427
15.277,0.0,0.01951398965295218,0.01144371643725927,0.04779422368862997,0.0018698190359611349,0.0018698190359611349,0.0031040586091170574,0.013437740800516441,0.06595201649224966,0.03560875880585408
15.777,0.0,0.006744224828430734,0.0048003310413058595,0.0015460774010071763,0.0015937617203491373,0.0015937617203491373,-0.0007437874092372516,0.018429131488205127,-0.000504925825430582,0.03326790234725329
16.278,0.0,0.0060895483541098016,0.009090071397921918,0.0005474126400763242,0.0018210265736514403,0.0018210265736514403,0.0014394512089183507,0.014700716552535149,0.0007637791851098099,0.05026225680606072
16.778,0.0,0.009405973511294801,0.008832668741808117,0.015020028097606162,0.0021733189546075163,0.0021733189546075163,0.0005951975648308446,0.004442049905677892,0.019843932032398846,0.041392701339677575
17.287,0.0,0.007180454684835294,0.001142551659874871,0.011841032628470355,0.0016900331808476512,0.0016900331808476512,-0.002611299355450299,0.011703797091987747,0.010070745271839397,0.006385050357394821
