ROI,spike_time_s,latency_s,stim_window_start_s,stim_window_end_s,condition
ROI.D [],88.287,8.287000000000006,80,100,20s1
ROI.D [],142.777,12.776999999999989,130,150,20s1
ROI.D [],151.777,21.776999999999987,130,150,20s1
ROI.03 [],92.777,12.777,80,100,20s1
ROI.22 [],34.778,4.777999999999999,30,50,20s1
ROI.22 [],49.277,19.277,30,50,20s1
ROI.22 [],60.292,30.292,30,50,20s1
ROI.22 [],88.287,8.287000000000006,80,100,20s1
ROI.22 [],115.277,35.277,80,100,20s1
ROI.22 [],142.777,12.776999999999989,130,150,20s1
ROI.22 [],151.777,21.776999999999987,130,150,20s1
ROI.26 [],90.777,10.777,80,100,20s1
ROI.27 [],85.777,5.777000000000001,80,100,20s1
ROI.30 [],92.278,12.278000000000006,80,100,20s1
ROI.31 [],52.278,22.278,30,50,20s1
ROI.31 [],77.78,47.78,30,50,20s1
ROI.31 [],84.778,4.778000000000006,80,100,20s1
ROI.31 [],94.778,14.778000000000006,80,100,20s1
ROI.31 [],115.778,35.778000000000006,80,100,20s1
ROI.31 [],136.288,6.288000000000011,130,150,20s1
ROI.31 [],160.285,30.285,130,150,20s1
ROI.31 [],179.288,49.28800000000001,130,150,20s1
ROI.02 [],173.286,43.286,130,150,20s2
ROI.E [],47.777,17.777,30,50,20s3
ROI.E [],52.784,22.784,30,50,20s3
ROI.E [],109.28,29.28,80,100,20s3
ROI.E [],144.788,14.788000000000013,130,150,20s3
ROI.E [],166.777,36.77699999999999,130,150,20s3
ROI.F [],145.777,15.776999999999989,130,150,20s3
ROI.B [],152.787,22.78700000000001,130,150,20s3
ROI.D [],40.787,10.787,30,50,20s3
ROI.D [],64.776,34.776,30,50,20s3
ROI.D [],73.283,43.283,30,50,20s3
ROI.D [],82.777,2.777000000000001,80,100,20s3
ROI.D [],86.777,6.777000000000001,80,100,20s3
ROI.D [],139.791,9.790999999999997,130,150,20s3
ROI.D [],164.277,34.27699999999999,130,150,20s3
ROI.D [],172.278,42.27799999999999,130,150,20s3
ROI.09 [],52.784,22.784,30,50,20s3
ROI.09 [],144.277,14.276999999999989,130,150,20s3
ROI.10 [],44.787,14.787,30,50,20s3
ROI.10 [],52.284,22.284,30,50,20s3
ROI.10 [],107.277,27.277,80,100,20s3
ROI.10 [],144.277,14.276999999999989,130,150,20s3
ROI.10 [],161.776,31.77600000000001,130,150,20s3
ROI.10 [],166.777,36.77699999999999,130,150,20s3
ROI.11 [],51.78,21.78,30,50,20s3
ROI.11 [],143.777,13.776999999999989,130,150,20s3
ROI.12 [],51.78,21.78,30,50,20s3
