Parameter,Replicate,ROI,spike_time_s
10,1,2,46.278
10,1,3,40.788
10,1,6,41.276
10,1,10,41.276
10,1,11,41.276
10,1,12,41.276
10,1,14,41.276
10,1,14,80.277
10,1,15,41.276
10,1,16,41.276
10,1,16,80.277
10,1,18,41.276
10,1,18,81.278
10,1,19,41.276
10,1,20,80.277
10,2,3,80.788
10,2,3,120.287
10,2,6,121.286
10,2,10,80.277
10,2,11,80.788
10,2,11,121.286
10,2,12,121.286
10,2,13,80.788
10,2,13,121.286
10,2,14,121.286
10,2,16,80.788
10,2,17,80.788
20,1,12,50.778
20,1,16,101.278
20,1,17,50.778
20,2,6,162.287
20,2,17,101.278
20,2,18,169.788
5,1,14,70.778
5,1,16,70.778
5,1,18,70.778
5,1,18,106.279
5,2,3,35.277
5,2,3,106.287
5,2,6,35.777
5,2,10,35.277
5,2,11,70.775
5,2,12,70.775
5,2,13,35.277
5,2,13,70.289
5,2,14,35.277
5,2,14,70.289
5,2,15,35.277
5,2,16,35.277
5,2,16,70.289
5,2,17,70.289
5,2,18,35.277
5,2,18,70.289
5,2,20,35.277
5,3,3,70.786
5,3,3,106.278
5,3,6,70.786
5,3,6,106.278
5,3,10,36.281
5,3,10,70.786
5,3,10,106.278
5,3,11,36.281
5,3,11,70.786
5,3,12,106.278
5,3,13,36.281
5,3,13,70.786
5,3,13,106.278
5,3,14,70.786
5,3,14,106.278
5,3,15,70.786
5,3,15,106.278
5,3,16,70.786
5,3,16,106.278
5,3,17,70.786
5,3,18,70.786
5,3,18,106.278
5,3,20,70.786
5,3,20,106.278
