Time (s),ROI.01 [],ROI.02 [],ROI.000 [],ROI.04 [],ROI.05 [],ROI.03 [],ROI.06 [],ROI.07 [],ROI.08 [],ROI.09 [],ROI.10 [],ROI.11 [],ROI.12 [],ROI.13 [],ROI.14 []
0.258,0.19042089876829763,0.03695144767841542,0.0,0.7046361836919969,0.05044965983424896,0.15969940828288784,0.23068421716311757,0.931281449227878,0.1107710204016655,0.028689782548827737,0.013624412694057996,0.6856810410539074,0.7728173034296725,1.461598052410013,0.7413649441277271
0.784,0.40982185083943823,0.10066396468102527,0.0,0.7256469912575841,0.14760915436704353,0.3021860224391486,0.4984759941308939,1.0862948968043702,0.5295528858202454,0.059495925895519594,0.05942075880196461,0.7183206278185429,0.8278033763690682,1.5146408078389948,0.7983573974332461
1.277,0.4685074019495087,0.09602917000511485,0.0,0.7207856406919331,0.09136782703125558,0.3013491051148575,0.5934426800642265,1.0757064587892677,0.28084264729047603,0.0820148124633801,0.055985917619201714,0.7194114345380024,0.8286212780651525,1.609370025139804,0.7778273011847907
1.787,0.5631492165455649,0.10348336949698318,0.0,0.7206978097325349,0.12915875047531356,0.34145500597570055,0.7502617547426925,1.1319932219920468,0.3632121789326739,0.04569831847026791,0.07960381328962805,0.7171087231422658,0.8346085165171161,1.523299164095751,0.7977081757676322
2.278,0.5083017322343357,0.09965138305476887,0.0,0.7293189313655185,0.11506302172220913,0.30703207434121244,0.6842331219177149,1.0577570185062348,0.44545863143046294,0.07949389017080827,0.058751483828309296,0.7154025827064707,0.8215761529180358,1.6478336410097243,0.7729579827482276
2.777,0.5354241176222275,0.11710444070902659,0.0,0.7454096485604568,0.11047444911280027,0.3262315589497083,0.6942393749904562,1.1223029435105998,0.6476390950282341,0.06726124031329625,0.06213200014087441,0.7240229877995263,0.8418166346810332,1.6970749904254945,0.7924006368105461
3.285,0.4958816655308821,0.10515392654723017,0.0,0.7243565762825895,0.0910385133822162,0.3075303961158612,0.6013239349437984,1.1619056211616838,0.6129621151270614,0.07846693625162421,0.05416439620355549,0.7178585819129251,0.8378839895941612,1.5787788341777074,0.7934831298100521
3.777,0.4896372843003972,0.10567750606705782,0.0,0.7157085608981383,0.08951952088016803,0.30364906150314525,0.5851500804304587,1.1284843615960114,0.5813029715008083,0.07944004385598975,0.08183336100696742,0.7221100531230933,0.8205829823565717,1.4830181855909537,0.7606089248697943
4.278,0.44499080055512774,0.10845111864018199,0.0,0.7309563586343771,0.10649532921864642,0.28194565948261674,0.5329879707909624,1.1640735594654519,0.5422024900675796,0.04966942940292232,0.07769865298058898,0.7180695977737734,0.8351876893903526,1.4335426391822506,0.7744685844970375
4.796,0.39690462289216416,0.10463210905501502,0.0,0.7221335573963095,0.0832995872902945,0.29128312550331886,0.4801399759725234,1.0488291094749576,0.2705469481132981,0.07405552547989448,0.09324553742162416,0.7065021109000926,0.8164850108269291,1.4992241955076773,0.7648999763979965
5.283,0.4831782677417544,0.11877996141264245,0.0,0.7277587136713292,0.1415469232849273,0.37826190214583055,0.566062983510634,1.1262284207961712,0.49661645616991185,0.07503068316057684,0.09391341440903282,0.7196839375150379,0.8394389771371346,1.5279457288820995,0.7761299845980724
5.784,0.49671659560703024,0.10050225077063457,0.0,0.716935540793498,0.08940269204671443,0.45168049815440325,0.5673365502116994,0.9909828926189711,0.4938992166226211,0.0475130248178519,0.08298960481569259,0.7075489358944459,0.8109349198601546,1.4914925299249748,0.7451819981791687
6.277,0.4413621617347372,0.0892595496275263,0.0,0.7220673312166,0.11069063797846908,0.40298111755065974,0.4932883403003413,1.0106704619132663,0.529564712398453,0.07342981391119623,0.05421947467568208,0.7152370339556088,0.8246873435989911,1.4828864686206202,0.7678964750004142
6.777,0.4369765943110168,0.07896100714747477,0.0,0.7246888330332243,0.10113560219325463,0.3721992350785225,0.5160370156885931,0.9866447840641818,0.29460479459266303,0.05821829712733105,0.045046741099445405,0.7133841010104827,0.8176517919535499,1.4386170580626518,0.7493503131613726
7.278,0.4208056217161119,0.09617998274127361,0.0,0.7352128513899615,0.11333081761376115,0.3356984386511529,0.5048217507864365,1.0413565895508377,0.5912777717243225,0.0769542839068181,0.057626760239677506,0.7218288528266538,0.8171490152550392,1.4930842858044162,0.762340245569687
