ROI,n_spikes,spike_times_s
ROI.08 [],5,50.276;86.777;132.777;191.277;197.776
ROI.01 [],3,39.777;93.776;146.277
ROI.04 [],3,50.276;100.777;144.277
ROI.05 [],3,47.777;88.277;145.277
ROI.03 [],3,39.777;93.776;146.277
ROI.02 [],3,47.777;87.777;132.777
ROI.06 [],3,39.777;93.776;146.277
ROI.07 [],3,47.777;88.778;132.777
ROI.09 [],3,50.276;87.777;139.778
ROI.10 [],3,50.276;88.277;144.277
ROI.11 [],3,47.777;87.777;131.777
ROI.12 [],3,50.276;87.777;145.277
ROI.13 [],3,50.276;87.777;145.277
ROI.14 [],3,47.777;87.777;131.777
