ROI,n_spikes,spike_times_s
ROI.02 [],5,52.178;104.924;161.604;220.792;298.352
ROI.06 [],5,51.177;114.426;167.605;242.304;298.352
ROI.10 [],5,60.679;110.935;174.605;227.804;298.352
ROI.08 [],5,54.677;114.925;178.615;243.303;298.352
ROI.07 [],5,57.178;118.425;170.105;231.303;298.352
ROI.17 [],5,57.178;109.426;156.603;226.292;298.352
ROI.14 [],5,55.678;101.425;161.604;237.793;298.352
ROI.03 [],4,101.425;184.104;227.804;298.352
ROI.04 [],4,101.425;161.604;218.803;298.352
ROI.05 [],4,100.424;166.605;222.793;298.352
ROI.09 [],4,101.425;181.603;224.294;298.352
ROI.15 [],4,51.687;184.104;237.793;298.352
ROI.12 [],4,112.424;172.103;219.792;298.352
ROI.19 [],4,54.677;119.925;169.614;298.352
ROI.20 [],4,109.925;180.615;228.292;298.352
ROI.16 [],4,120.424;155.604;218.293;298.352
ROI.18 [],4,57.178;105.436;173.103;298.352
ROI.22 [],4,166.114;233.792;259.809;298.352
ROI.21 [],2,52.178;298.352
ROI.13 [],1,298.352
ROI.11 [],1,298.352
