ROI,n_spikes,spike_times_s
ROI.11 [],4,50.778;94.278;140.278;193.788
ROI.09 [],2,49.277;129.279
ROI.10 [],2,32.776;88.287
ROI.05 [],1,85.777
ROI.07 [],1,86.289
ROI.12 [],1,89.778
