ROI,n_spikes,spike_times_s
ROI.02 [],5,51.277;100.777;106.777;150.778;156.779
ROI.05 [],3,52.778;102.277;152.278
ROI.06 [],3,58.778;102.277;151.778
ROI.07 [],3,51.277;100.777;151.277
