Time (s),ROI.01 [],ROI.02 [],ROI.03 [],ROI.04 [],ROI.05 [],ROI.06 [],ROI.07 []
0.259,0.0,0.020284904842293935,0.02689166296072536,0.0912537290265276,0.006515272056418018,0.06297893905644836,-0.0021039301766176202
0.778,0.0,0.019374010810885797,0.01775908045530403,0.025809328722094297,0.006051200064575696,0.07779343493326052,0.010665465768504549
1.287,0.0,0.034159371142354636,0.024989070182542584,0.03228368150606198,0.009787621397420388,0.08255379228772568,0.03922467940784499
1.777,0.0,0.029792055515278165,0.014591432517363728,0.035629587749612626,0.006701725594395089,0.0733733442504662,0.05229770814185408
2.277,0.0,0.04039663272378396,0.04244120084784646,0.07708292462211473,0.009652253356003436,0.07248798748335313,0.03481206892360514
2.778,0.0,0.04238578621008747,0.02564798331199934,0.0598971677720651,0.0038973108758969,0.06811732824817746,0.03038479799041769
3.278,0.0,0.03713831324824086,0.024072684775823125,0.05459007890783164,0.004944784972356312,0.05979460227206522,0.037570665475146495
3.778,0.0,0.028964981173737712,0.008751366234486383,0.024249996976620575,0.002496456843196876,0.056330659668578045,0.026405736720062155
4.278,0.0,0.033741742595496685,0.01834854329020348,0.04655317716026757,0.007617611037083241,0.05173801178363318,0.048260658931249034
4.778,0.0,0.02519471420981087,0.011049321006949425,-0.003909336089232046,0.0050076255317835355,0.04937495468595063,0.027609293854661904
5.286,0.0,0.027124264538621944,0.01172244371166308,0.034175376598898674,0.0031477170344529856,0.04758448064061674,0.010569552102700587
5.778,0.0,0.024744371859321733,0.019583126865993533,0.0318292019923936,0.0044893694222499815,0.03751146960231872,0.04004492760600688
6.276,0.0,0.02492768364908196,0.016375277689870914,0.03684857188020549,0.003726903501228451,0.0401903156782155,0.03293248687540749
6.778,0.0,0.027585177510975507,0.017353109132593067,0.03877309880896073,0.005981745339309312,0.036613946737252816,0.03859964398226599
7.278,0.0,0.029203120303763055,0.015364023455516136,0.048163330155105,0.0034507179908884705,0.03385997777525122,0.05761105571845944
7.777,0.0,0.02906974577365172,0.01649510219226489,0.05847139222389498,0.005746826498312098,0.030560861411360996,0.047058498474253065
8.286,0.0,0.028806735852571652,0.01565547393665041,0.055774385888338614,0.006139833037782756,0.03217820242708324,0.028319853568478846
8.778,0.0,0.021538620535989296,0.01645190890819683,0.032569453743678194,0.006872058684838886,0.02708472341229381,0.006082706714157844
9.28,0.0,0.01956350329487447,0.008072994015235806,0.014784432969430035,0.004488258141100878,0.022332858727112496,0.023394519738803774
9.784,0.0,0.018558012194965934,0.0019483431659616545,0.0006134861475414186,-0.002971373441670838,0.024414282339450886,0.02627239962706745
10.285,0.0,0.01592350698342852,0.004956492088430535,0.014736697132111674,0.0006441366201938504,0.018410709648723943,0.005473400346021172
10.778,0.0,0.017812639689127847,0.009745636450314397,-0.005773825635022073,0.001048339758605818,0.0214980830007646,0.03506147000002072
11.278,0.0,0.014068815396930227,0.011274333546893528,0.03434901162890847,0.003343988572304983,0.015568991768359252,0.01714474818940429
11.779,0.0,0.020319845939334107,0.0009258534470871169,0.021973822970673122,0.0037517698040932784,0.017890688612610863,0.026771398739733054
12.278,0.0,0.014676635306000486,0.0028868515922986166,0.031154693284595622,0.0022743227482664094,0.018733747766480797,0.009800579570624673
12.779,0.0,0.01308961966530067,-0.001664052619079149,0.002938916959956778,0.0007919392016613843,0.015225286813975622,0.005597055339649451
13.289,0.0,0.011854557051396411,0.0031494825585781858,0.030604965536272833,0.003669430400419751,0.013730386912190164,0.03859635579603746
13.776,0.0,0.005556969559960259,-0.0010449630746877758,0.019325055156960886,-0.0005589117602002935,0.012179797653444947,0.01771027578669495
14.278,0.0,0.015658698530063152,0.015956381523862837,0.0163091227425686,0.004949564575870029,0.019468383386686182,0.030538657459731288
14.778,0.0,0.008088588192814876,0.0019361015022029578,-0.011663863718938142,0.00054936410067444,0.012899873629876915,0.010329939729677277
15.278,0.0,0.0046242551264134325,0.016773301619030116,0.049438647852842355,0.002831000066180199,0.018066686594830725,0.0165958587123458
15.779,0.0,0.01696695493647669,0.011989535969675637,0.055771143268595065,0.004364593436392463,0.010502853853522336,0.021630840126066468
16.278,0.0,0.011011252293718292,0.011237552632277322,0.053741219836583975,0.003874489590789921,0.01239332869485875,0.019993805105498287
16.778,0.0,0.0030581460107478873,0.011822387812590606,0.026883155482409823,0.003657897183037397,0.010862464250648128,0.027544595309681036
17.278,0.0,0.014404765779556612,0.008374050423592521,0.04413351749213908,0.002461671423939502,0.015145354422052308,0.00021721011926039186
17.777,0.0,0.006008264511928624,0.0023624001272893403,0.016799198652410502,0.0017327367328722131,0.012593283307620247,-0.0005585403066696094
18.288,0.0,0.009017592254186198,0.013062737437973355,0.01684203050139317,0.005572233175569059,0.012638213525276226,0.03216388498791756
18.778,0.0,0.0013143505580777064,0.004532021427208854,0.007348618877149997,0.0014373332053021774,0.008130169050721432,0.03578554430346694
19.288,0.0,0.01424218938736271,0.025910312342284293,0.057988929796532286,1.8861054757162,7.136218966455775,0.01166009027552005
19.778,0.0,0.010577011070145859,0.004495739720814315,0.03223052268302747,2.1353108721806473,10.18050001261219,0.032586259190378365
20.278,0.0,0.004850161009004146,0.01501518150771984,0.03825221690083439,2.1391978838790124,10.335445169320579,0.025571997154447402
20.785,0.0,3.1935357479112403e-06,-0.004793674036558298,0.019804383318626002,2.137151819938502,10.455621239446614,0.0011850262231018487
21.277,0.0,0.0018274581403132793,0.006242509911077668,0.05522219050557936,2.1447377752771706,10.433466526342533,0.01608688863654131
21.788,0.0,-0.0020741605578889475,-0.00046984694350157754,-0.007999327524971542,2.254108820181703,12.318774860632375,0.0018868757609176916
22.281,0.0,0.006337642440834486,0.01492012314546453,0.014818971686492054,2.2709587616371607,12.324523704758105,0.016499801895574234
22.784,0.0,0.0006171567347144384,0.012077875671047778,0.01683394406345652,2.2819220593648333,13.17941904938197,0.008636831557169818
23.277,0.0,-6.387066962967484e-06,0.006339504769356709,0.0019403861485865414,2.2783840862360343,13.160270288666764,0.013694462731313037
23.792,0.0,0.011908121291121246,0.014555231253561103,0.022912003240560627,2.29812875104276,13.432403176119912,-0.005457806990956904
24.277,0.0,0.0024150654563912504,0.012298462414649472,0.017057349856254452,2.2995778621641736,13.369408002133474,0.002760524488563015
24.786,0.0,0.011303392480939608,0.023653804230891275,0.031605556044774365,2.303586471795047,13.462521500036953,0.002275907936540564
25.278,0.0,0.0161190991646653,0.015650694809716068,0.02470882695592149,2.2927451930884724,13.423028051785959,0.0275240025957632
25.777,0.0,-0.00019763680635119938,0.02174660891680115,0.03014884681378884,2.291678060932165,13.422374207826099,-0.003121193566408132
26.292,0.0,0.0070025336065476325,0.021254414317605448,0.04067840094496585,2.3056533848115044,13.555154550530483,0.005776591790654649
26.778,0.0,0.002981328557604568,0.009640737304843588,0.04115472690321445,2.3107818553254145,13.531967106192617,0.02767065263463413
27.277,0.0,-0.0038147845651432637,-0.0006169166807668022,-0.004321382861399766,2.282635957298099,13.458664299806777,-0.0102114560499414
27.788,0.0,0.0033423266562152346,0.0011231751596736952,0.03281007440559349,2.3084858693269186,13.55524896503034,0.007844896326281856
28.278,0.0,0.005633519594796711,0.0027323736419525,-0.027831624442355627,2.3080994438770066,13.71541934528783,0.012540770841309903
28.787,0.0,0.009952749714070765,0.0005991871138990631,0.01642740887773973,2.3126698544382656,13.74131098701343,0.014459356829361602
29.276,0.0,0.005603145888726221,0.006710878161526079,0.025602123220034197,2.3168844853688237,13.737087538747659,0.02801134201931439
29.788,0.0,0.0073484837967473975,0.007879528268770798,0.012164915842582441,2.3219689869169104,14.018699001279156,0.007622744291093936
30.277,0.0,0.0133764399719877,0.012975820186549742,0.04501115428641904,2.327130304398462,14.805558053732693,0.02104365884504433
30.787,0.0,0.009265555429809735,0.005893078290470173,0.024926243125212327,2.3283406322176914,14.73808629994554,0.015863025113507314
31.277,0.0,-0.0063447503241731385,-0.006280872429969673,0.0032977164240611495,2.328669995300516,14.768115171684505,-0.00882722115052335
31.779,0.0,1094.2574302308863,2.1314174509667048,7.59942207851935,0.06668351308770702,0.4787723254086272,2624.4395359422533
32.276,0.0,1105.9901672532544,2.19880993260983,7.798673509324362,0.0003269036173729112,0.07006711780153183,2651.143625772124
32.778,0.0,1107.7658315946915,2.1765238158283298,7.735557103662003,0.04760911722699004,0.2218236357687384,2649.6258927312992
33.278,0.0,1109.9743423732214,2.184486934387936,7.762158046970262,0.015502387806588554,0.09309727108075265,2658.084258133494
33.784,0.0,1086.7258006836762,2.0175844275534827,7.379297728153025,0.1945860018641589,1.1575520594146056,2590.7064629802676
34.278,0.0,1104.0429292985752,2.1707800519572378,7.837226189722105,0.005278379612860879,0.08677076865918701,2641.278274585869
34.778,0.0,1113.7816599043438,2.168566090541661,7.802849842291769,0.029831766156524633,0.25050035545278143,2635.262905709722
35.287,0.0,1077.5965303396538,1.915547950128979,7.163770852280702,0.29503986527342907,1.7130281619636758,2569.1162155127336
35.787,0.0,1093.4146196325346,1.922118044860868,7.161124042192044,0.2710648050889182,1.7566268218792984,2568.4503413510924
36.278,0.0,1106.434644022484,2.176526098745651,7.88358923309616,0.00618485926456735,0.16605540226199658,2633.3800716518176
36.779,0.0,1105.124179461476,2.1337590444913372,7.769304106291802,0.014968970574031841,0.14002111207369727,2648.8298264520718
37.278,0.0,1102.0535375748375,2.1755932717808504,7.779274911275995,0.02879489650774065,0.33051821857293534,2632.140662456322
37.777,0.0,1100.3239312476044,2.1855740115536286,7.897134819354413,0.021695208542654377,0.12278453885609056,2645.471485853472
38.287,0.0,1081.5723110682945,1.9066661062877543,7.147705614975738,0.2893614689092488,1.7806736515911596,2564.3400953106743
38.778,0.0,1101.9721401121385,2.142252710589853,7.87164657729765,0.01316685744987921,0.10965999047597264,2633.667753652054
39.288,0.0,1074.1386793696834,1.8981386384894294,7.208909705185865,0.31476049038329146,1.877952612372655,2530.0842641796607
39.777,0.0,1105.017274589558,2.159359377411764,7.946410505225954,0.01577215136421697,0.14003533977297733,2602.9567646735086
40.278,0.0,1099.2706945745135,2.1658069921232377,7.9334356392687395,0.01760382951492528,0.19608342424256628,2607.6001966805816
40.788,0.0,1072.07127449471,1.9227730764573518,7.223705684049,0.28224805236029976,1.748393951194465,2527.4425812217555
41.278,0.0,1117.6043670671745,2.198326018216986,7.932816389546095,0.0034713366193969792,0.0369909194442527,2603.2911359514083
41.789,0.0,1073.813864682445,1.9036353853280208,7.141883091091699,0.29834546851970667,1.7539998140164703,2526.220922566773
42.278,0.0,1093.5162153276087,2.201178356391469,7.938750143072808,0.019514395293444984,0.13736246105475922,2597.655052015948
42.779,0.0,1097.1716965333123,2.232334658151224,7.935749531151138,-0.0012993109863288176,0.016784648378058275,2623.0249969182114
43.278,0.0,1093.1496080430495,2.1929095581279676,7.9316992947550995,0.014342767421975437,0.03705697873795659,2584.057444930453
43.789,0.0,1023.701195826965,1.9170483150760227,7.2722546137087525,0.26271964533708725,1.58860195133031,2267.442477852393
44.278,0.0,1056.197100646974,2.2320825336740984,7.9804340921996255,0.0053509989240187105,0.0032478358409232305,2261.880507993259
44.777,0.0,1033.6264039281295,2.237778199135619,8.04319975548751,-0.0010603603360683474,-0.015174894373631509,2244.393652948717
45.277,0.0,1035.843434681957,2.2193160171099233,8.021146722991736,0.00035089097966920326,-0.025579089794990188,2255.1786756552756
45.778,0.0,1045.5360285762235,2.2107014319099223,7.905696890293505,0.017711718236117825,0.11586703134545123,2266.7550523151203
46.277,0.0,1033.090630829593,2.234935553593485,8.010128020530953,-0.008249985900046072,0.01788034221358647,2249.6343043236866
46.788,0.0,1015.1957521273811,1.9428104439919491,7.213649480924758,0.2925518247373184,1.6835151200097755,2185.9508715492066
47.277,0.0,1046.6315422067607,2.2196328561241194,7.919140772666219,-0.003107716283466829,0.04396737761639875,2291.6731872689847
47.78,0.0,1047.4802531777289,2.1647339831461987,7.757692164704038,0.07811559677489802,0.4560106263430161,2312.8671143397114
48.285,0.0,1041.4435790165014,1.981394098481903,7.486119412965595,0.19277145945414825,1.2086625411539857,2259.4367076294975
48.785,0.0,1043.9096979933825,1.9944300641959731,7.430292710733255,0.2368556316527529,1.3668505282367922,2324.5890107458094
49.278,0.0,1063.8297451035269,2.22791486569113,7.924392670332324,0.0005073142584032431,-0.008351577876659985,2389.358036579782
49.778,0.0,1064.0375795651019,2.219427233739109,7.826901957579184,0.026999357877455846,0.10237627813689126,2408.528553401776
50.277,0.0,1082.8869225553015,2.290804320689917,7.9902591730814425,0.0029607505605421473,-0.019049917447870542,2425.7737575684578
50.788,0.0,1051.994936560606,1.9397682620111432,7.1675665275500995,0.3206058182924898,1.9320199138448553,2322.4159952661607
51.277,0.0,1072.6203184430303,2.246351951838392,7.9946726425804115,-0.0009022910905779875,-0.047781144888009455,2411.8163855919197
51.778,0.0,0.22747370534759875,0.007674580596096309,0.02951476574322192,2.3428137946079834,15.168487023109384,0.4345161752308688
