Condition_A,Condition_B,n_ROIs,Spearman_rho,p_value,Significance
10s,20s,13,-0.025623537159526914,0.9337797234887791,ns
10s,2hz,5,-0.3952847075210474,0.510140203242436,ns
10s,5hz,15,0.3847418820319328,0.15676504517257864,ns
10s,5s,3,-1.0,0.0,***
20s,2hz,5,0.8885233166386386,0.043924952533494,*
20s,2mw,3,,,ns
20s,5hz,15,-0.20264411855089687,0.4688707774391555,ns
20s,5s,4,0.7378647873726218,0.2621352126273781,ns
2hz,5hz,7,0.6400261077368837,0.1215624340151056,ns
2hz,5s,4,-0.888888888888889,0.11111111111111102,ns
2hz,Ctrl,3,,,ns
2mw,5s,3,,,ns
5hz,5s,5,-0.6315789473684211,0.25308042455441565,ns
5hz,Ctrl,3,,,ns
5s,Ctrl,3,,,ns
