Condition_A,Condition_B,n_ROIs,Spearman_rho,p_value,Significance
10s,20s,13,0.06602482174568754,0.8303121739076676,ns
10s,2hz,5,-0.19999999999999998,0.747060078104662,ns
10s,5hz,15,-0.5076812808966282,0.05336811502973904,ns
10s,5s,3,0.0,1.0,ns
20s,2hz,5,-0.5642880936468347,0.32172333582430024,ns
20s,2mw,3,1.0,0.0,***
20s,5hz,15,-0.4306481071684771,0.10905220181104713,ns
20s,5s,4,0.39999999999999997,0.6,ns
2hz,5hz,7,-0.12613124477737825,0.787572159407474,ns
2hz,5s,4,-0.888888888888889,0.11111111111111102,ns
2hz,Ctrl,3,0.8660254037844387,0.3333333333333332,ns
2mw,5s,3,0.8660254037844387,0.3333333333333332,ns
5hz,5s,5,-0.5642880936468347,0.32172333582430024,ns
5hz,Ctrl,3,0.5,0.6666666666666667,ns
5s,Ctrl,3,-1.0,0.0,***
