Group_A,Group_B,n_paired_ROIs,Mean_A,Mean_B,Mean_Diff,t_statistic,p_value,Cohens_d,Significance
10s,1mw,2,1.0,1.0,0.0,,,0.0,ns
10s,20s,13,1.1153846153846154,1.358974358974359,-0.2435897435897436,-2.1046253473625027,0.0570741252215984,-0.5837180465812857,ns
10s,2hz,5,1.1,1.3,-0.2,-0.7844645405527361,0.47662066727284136,-0.35082320772281167,ns
10s,5hz,15,1.1,1.5,-0.4,-1.73983534480336,0.10381410752694958,-0.44922355437109684,ns
10s,5s,3,1.1666666666666667,1.6666666666666667,-0.5,-1.0,0.42264973081037427,-0.5773502691896258,ns
1mw,2hz,2,1.0,1.75,-0.75,-3.0,0.20483276469913345,-2.1213203435596424,ns
1mw,5hz,2,1.0,3.5,-2.5,-5.0,0.12566591637800234,-3.5355339059327373,ns
1mw,5s,2,1.0,2.0,-1.0,-inf,0.0,0.0,***
20s,2hz,5,2.2333333333333334,1.1333333333333333,1.1,3.1608267412297995,0.034156944674066415,1.4135646916977938,*
20s,2mw,3,1.6666666666666667,1.0,0.6666666666666666,0.9999999999999999,0.42264973081037427,0.5773502691896256,ns
20s,5hz,15,1.6111111111111112,1.1666666666666667,0.4444444444444445,2.038588765750503,0.060840317951318626,0.5263613559678153,ns
20s,5s,4,2.208333333333333,1.75,0.4583333333333333,1.841880388213627,0.1627331098242936,0.9209401941068135,ns
20s,Ctrl,2,3.25,1.0,2.25,9.0,0.07044657495455454,6.363961030678928,ns
2hz,5hz,7,1.3095238095238095,1.7857142857142858,-0.4761904761904762,-1.3618788730702127,0.2221486976944745,-0.5147418305623832,ns
2hz,5s,4,1.5416666666666665,2.25,-0.7083333333333334,-2.4285714285714284,0.09344930870373656,-1.2142857142857142,ns
2hz,Ctrl,3,1.5555555555555554,1.0,0.5555555555555555,2.499999999999999,0.12961172022151085,1.4433756729740639,ns
2mw,5s,3,1.0,1.5555555555555554,-0.5555555555555555,-0.9999999999999998,0.42264973081037427,-0.5773502691896257,ns
2mw,Ctrl,2,1.0,1.0,0.0,,,0.0,ns
5hz,5s,5,2.1,2.0,0.1,0.14318218797100432,0.8930695601495042,0.06403302109406367,ns
5hz,Ctrl,3,2.0,1.0,1.0,1.0,0.42264973081037427,0.5773502691896258,ns
5s,Ctrl,3,2.3333333333333335,1.0,1.3333333333333333,6.9282032302755105,0.020204102886728748,4.000000000000001,*
