Group_A,Group_B,n_A,n_B,Mean_A,Mean_B,p_value,Significance
10s,1mw,26,2,23.799653846153852,14.78200000000001,0.05342903002942633,ns
10s,20s,26,70,23.799653846153852,22.053628571428572,0.3577055080218984,ns
10s,2hz,26,23,23.799653846153852,33.08630434782608,0.005802287751154018,**
10s,2mw,26,6,23.799653846153852,28.61433333333333,0.7159764369653852,ns
10s,5hz,26,34,23.799653846153852,26.131529411764706,0.7030273256813564,ns
10s,5s,26,22,23.799653846153852,22.34945454545454,0.6116421510526882,ns
10s,Ctrl,26,6,23.799653846153852,39.94983333333333,0.012476318683211867,*
1mw,20s,2,70,14.78200000000001,22.053628571428572,0.8503930271877935,ns
1mw,2hz,2,23,14.78200000000001,33.08630434782608,0.09805674843483606,ns
1mw,2mw,2,6,14.78200000000001,28.61433333333333,0.06513295836533664,ns
1mw,5hz,2,34,14.78200000000001,26.131529411764706,0.07623354284328115,ns
1mw,5s,2,22,14.78200000000001,22.34945454545454,0.7143346058112765,ns
1mw,Ctrl,2,6,14.78200000000001,39.94983333333333,0.06513295836533664,ns
20s,2hz,70,23,22.053628571428572,33.08630434782608,0.0029697244942563385,**
20s,2mw,70,6,22.053628571428572,28.61433333333333,0.1254075716755635,ns
20s,5hz,70,34,22.053628571428572,26.131529411764706,0.03133322718469402,*
20s,5s,70,22,22.053628571428572,22.34945454545454,0.8011755417992936,ns
20s,Ctrl,70,6,22.053628571428572,39.94983333333333,0.013981906402806618,*
2hz,2mw,23,6,33.08630434782608,28.61433333333333,0.1694760163047031,ns
2hz,5hz,23,34,33.08630434782608,26.131529411764706,0.02112878777308304,*
2hz,5s,23,22,33.08630434782608,22.34945454545454,0.03563691539786441,*
2hz,Ctrl,23,6,33.08630434782608,39.94983333333333,0.4036561978143638,ns
2mw,5hz,6,34,28.61433333333333,26.131529411764706,0.16471244889928227,ns
2mw,5s,6,22,28.61433333333333,22.34945454545454,0.2998315369160397,ns
2mw,Ctrl,6,6,28.61433333333333,39.94983333333333,0.12686934931105504,ns
5hz,5s,34,22,26.131529411764706,22.34945454545454,0.22944733150380459,ns
5hz,Ctrl,34,6,26.131529411764706,39.94983333333333,0.045668338661810005,*
5s,Ctrl,22,6,22.34945454545454,39.94983333333333,0.03558737264382527,*
