source,run_timestamp,ROI,n_spikes_all,n_spikes_in_stim,n_spikes_outside
blue3.csv,2025-10-13 00:37:49,ROI.02 [],4,3,1
blue3.csv,2025-10-13 00:37:49,ROI.03 [],3,3,0
blue3.csv,2025-10-13 00:37:49,ROI.04 [],3,3,0
blue3.csv,2025-10-13 00:37:49,ROI.05 [],4,4,0
blue3.csv,2025-10-13 00:37:49,ROI.06 [],4,3,1
blue3.csv,2025-10-13 00:37:49,ROI.07 [],3,3,0
blue3.csv,2025-10-13 00:37:49,ROI.08 [],3,3,0
blue3.csv,2025-10-13 00:37:49,ROI.09 [],4,4,0
blue3.csv,2025-10-13 00:37:49,ROI.10 [],4,4,0
blue3.csv,2025-10-13 00:37:49,ROI.11 [],3,3,0
blue3.csv,2025-10-13 00:37:49,ROI.12 [],3,3,0
blue3.csv,2025-10-13 00:37:49,ROI.13 [],3,3,0
blue3.csv,2025-10-13 00:37:49,ROI.14 [],5,5,0
blue3.csv,2025-10-13 00:38:00,ROI.01 [],3,3,0
blue3.csv,2025-10-13 00:38:00,ROI.02 [],4,3,1
blue3.csv,2025-10-13 00:38:00,ROI.03 [],3,3,0
blue3.csv,2025-10-13 00:38:00,ROI.04 [],3,3,0
blue3.csv,2025-10-13 00:38:00,ROI.05 [],4,4,0
blue3.csv,2025-10-13 00:38:00,ROI.06 [],4,3,1
blue3.csv,2025-10-13 00:38:00,ROI.07 [],3,3,0
blue3.csv,2025-10-13 00:38:00,ROI.08 [],3,3,0
blue3.csv,2025-10-13 00:38:00,ROI.09 [],4,4,0
blue3.csv,2025-10-13 00:38:00,ROI.10 [],4,4,0
blue3.csv,2025-10-13 00:38:00,ROI.11 [],3,3,0
blue3.csv,2025-10-13 00:38:00,ROI.12 [],3,3,0
blue3.csv,2025-10-13 00:38:00,ROI.13 [],3,3,0
blue3.csv,2025-10-13 00:38:00,ROI.14 [],5,5,0
blue3.csv,2025-10-13 00:38:16,ROI.01 [],3,3,0
blue3.csv,2025-10-13 00:38:16,ROI.02 [],4,3,1
blue3.csv,2025-10-13 00:38:16,ROI.03 [],3,3,0
blue3.csv,2025-10-13 00:38:16,ROI.04 [],3,3,0
blue3.csv,2025-10-13 00:38:16,ROI.05 [],4,4,0
blue3.csv,2025-10-13 00:38:16,ROI.06 [],4,3,1
blue3.csv,2025-10-13 00:38:16,ROI.07 [],3,3,0
blue3.csv,2025-10-13 00:38:16,ROI.08 [],3,3,0
blue3.csv,2025-10-13 00:38:16,ROI.09 [],4,4,0
blue3.csv,2025-10-13 00:38:16,ROI.10 [],4,4,0
blue3.csv,2025-10-13 00:38:16,ROI.11 [],3,3,0
blue3.csv,2025-10-13 00:38:16,ROI.12 [],3,3,0
blue3.csv,2025-10-13 00:38:16,ROI.13 [],3,3,0
blue3.csv,2025-10-13 00:38:16,ROI.14 [],5,5,0
blue3.csv,2025-10-13 00:40:06,ROI.01 [],3,3,0
blue3.csv,2025-10-13 00:40:06,ROI.02 [],4,3,1
blue3.csv,2025-10-13 00:40:06,ROI.03 [],3,3,0
blue3.csv,2025-10-13 00:40:06,ROI.04 [],3,3,0
blue3.csv,2025-10-13 00:40:06,ROI.05 [],4,4,0
blue3.csv,2025-10-13 00:40:06,ROI.06 [],4,3,1
blue3.csv,2025-10-13 00:40:06,ROI.07 [],3,3,0
blue3.csv,2025-10-13 00:40:06,ROI.08 [],3,3,0
blue3.csv,2025-10-13 00:40:06,ROI.09 [],4,4,0
blue3.csv,2025-10-13 00:40:06,ROI.10 [],4,4,0
blue3.csv,2025-10-13 00:40:06,ROI.11 [],3,3,0
blue3.csv,2025-10-13 00:40:06,ROI.12 [],3,3,0
blue3.csv,2025-10-13 00:40:06,ROI.13 [],3,3,0
blue3.csv,2025-10-13 00:40:06,ROI.14 [],5,5,0
blue3.csv,2025-10-13 00:51:38,ROI.01 [],3,3,0
blue3.csv,2025-10-13 00:51:38,ROI.02 [],4,3,1
blue3.csv,2025-10-13 00:51:38,ROI.03 [],3,3,0
blue3.csv,2025-10-13 00:51:38,ROI.04 [],3,3,0
blue3.csv,2025-10-13 00:51:38,ROI.05 [],4,4,0
blue3.csv,2025-10-13 00:51:38,ROI.06 [],4,3,1
blue3.csv,2025-10-13 00:51:38,ROI.07 [],3,3,0
blue3.csv,2025-10-13 00:51:38,ROI.08 [],3,3,0
blue3.csv,2025-10-13 00:51:38,ROI.09 [],4,4,0
blue3.csv,2025-10-13 00:51:38,ROI.10 [],4,4,0
blue3.csv,2025-10-13 00:51:38,ROI.11 [],3,3,0
blue3.csv,2025-10-13 00:51:38,ROI.12 [],3,3,0
blue3.csv,2025-10-13 00:51:38,ROI.13 [],3,3,0
blue3.csv,2025-10-13 00:51:38,ROI.14 [],5,5,0
