ROI,start_s,end_s,duration_s,peak_to_peak
ROI.02 [],62.288,72.288,10.0,0.44530810063013837
ROI.02 [],62.777,72.777,10.0,0.44530810063013837
ROI.02 [],63.278,73.27799999999999,9.999999999999993,0.44530810063013837
ROI.02 [],63.778,73.77799999999999,9.999999999999993,0.3175576457602564
ROI.02 [],64.278,74.278,10.0,0.3175576457602564
ROI.02 [],64.778,74.778,10.0,0.3175576457602564
ROI.02 [],65.279,75.279,10.0,0.3175576457602564
ROI.02 [],65.778,75.778,10.0,0.3016857658618558
ROI.02 [],66.278,76.278,10.0,0.3016857658618558
ROI.02 [],66.779,76.779,10.0,0.3016857658618558
ROI.02 [],67.288,77.288,10.0,0.375116726802509
ROI.02 [],67.783,77.783,10.0,0.375116726802509
ROI.02 [],68.284,78.284,10.0,0.375116726802509
ROI.02 [],68.785,78.785,10.0,0.37853967507132835
ROI.02 [],69.278,79.278,10.0,0.4677369652912577
ROI.02 [],69.777,79.777,10.0,0.4677369652912577
ROI.02 [],70.295,80.295,10.0,0.4677369652912577
ROI.02 [],70.778,80.778,10.0,0.4677369652912577
ROI.02 [],71.288,81.288,10.0,0.4677369652912577
ROI.02 [],71.777,81.777,10.0,0.4677369652912577
ROI.02 [],72.289,82.289,10.0,0.4677369652912577
ROI.02 [],72.777,82.777,10.0,0.4532481195293604
ROI.02 [],73.278,83.278,10.0,0.4532481195293604
ROI.02 [],73.777,83.777,10.0,0.4532481195293604
ROI.02 [],74.278,84.278,10.0,0.4532481195293604
ROI.02 [],74.777,84.777,10.0,0.42867372013176314
ROI.02 [],75.288,85.288,10.0,0.42867372013176314
ROI.02 [],75.778,85.778,10.0,0.42867372013176314
ROI.02 [],76.288,86.288,10.0,0.4670676556056319
ROI.02 [],76.779,86.779,10.0,0.4670676556056319
ROI.02 [],77.278,87.278,10.0,0.4670676556056319
ROI.02 [],77.787,87.787,10.0,0.5339725377548934
ROI.02 [],78.285,88.285,10.0,0.5339725377548934
ROI.02 [],78.778,88.778,10.0,0.5339725377548934
ROI.02 [],79.278,89.278,10.0,0.5339725377548934
ROI.02 [],79.787,89.787,10.0,0.4289953172289053
ROI.02 [],80.276,90.276,10.0,0.4003705288860018
ROI.02 [],80.788,90.788,10.0,0.3955326515618649
ROI.02 [],81.277,91.277,10.0,0.3955326515618649
ROI.02 [],81.778,91.778,10.0,0.3955326515618649
ROI.02 [],82.28,92.28,10.0,0.3955326515618649
ROI.02 [],82.778,92.778,10.0,0.3955326515618649
ROI.02 [],83.279,93.279,10.0,0.3955326515618649
ROI.02 [],83.778,93.778,10.0,0.3955326515618649
ROI.02 [],84.284,94.284,10.0,0.3955326515618649
ROI.02 [],84.778,94.778,10.0,0.3955326515618649
ROI.02 [],85.278,95.278,10.0,0.3955326515618649
ROI.02 [],85.788,95.788,10.0,0.3955326515618649
ROI.02 [],86.298,96.298,10.0,0.3955326515618649
ROI.02 [],86.785,96.785,10.0,0.3955326515618649
ROI.02 [],87.287,97.287,10.0,0.3955326515618649
ROI.02 [],87.786,97.786,10.0,0.39114024042790013
ROI.02 [],88.288,98.288,10.0,0.3733091333014244
ROI.02 [],88.779,98.779,10.0,0.3733091333014244
ROI.02 [],89.322,99.322,10.0,0.3733091333014244
ROI.02 [],89.779,99.779,10.0,0.3733091333014244
ROI.02 [],90.276,100.276,10.0,0.3733091333014244
ROI.02 [],90.778,100.778,10.0,0.3733091333014244
ROI.02 [],91.278,101.278,10.0,0.3733091333014244
ROI.02 [],91.776,101.776,10.0,0.3733091333014244
ROI.02 [],92.277,102.277,10.0,0.3314815222652305
ROI.02 [],92.788,102.788,10.0,0.3314815222652305
ROI.02 [],93.278,103.278,10.0,0.3314815222652305
ROI.02 [],93.778,103.778,10.0,0.3314815222652305
ROI.02 [],94.288,104.288,10.0,0.3314815222652305
ROI.02 [],94.778,104.778,10.0,0.3314815222652305
ROI.02 [],95.276,105.276,10.0,0.3314815222652305
ROI.02 [],95.777,105.777,10.0,0.29131488568461056
ROI.02 [],96.291,106.291,10.0,0.29131488568461056
ROI.02 [],96.779,106.779,10.0,0.29131488568461056
ROI.02 [],97.277,107.277,10.0,0.29131488568461056
ROI.02 [],97.814,107.814,10.0,0.29131488568461056
ROI.02 [],98.278,108.278,10.0,0.14849085962614944
ROI.02 [],98.776,108.776,10.0,0.14849085962614944
ROI.02 [],99.277,109.277,10.0,0.20376835290905176
ROI.02 [],99.778,109.778,10.0,0.32700622325882867
ROI.02 [],100.291,110.291,10.0,0.32700622325882867
ROI.02 [],100.776,110.776,10.0,0.32700622325882867
ROI.02 [],101.295,111.295,10.0,0.32700622325882867
ROI.02 [],101.778,111.778,10.0,0.32700622325882867
ROI.02 [],102.282,112.282,10.0,0.4779395973014625
ROI.02 [],102.777,112.777,10.0,0.4779395973014625
