ROI,n_spikes,spike_times_s
ROI.14 [],3,30.790;70.788;120.278
ROI.21 [],3,30.790;70.788;117.776
ROI.08 [],2,27.777;106.277
ROI.02 [],2,29.285;106.787
ROI.03 [],2,27.777;104.277
