ROI,n_latencies,mean_latency_s,median_latency_s,std_latency_s,min_latency_s,max_latency_s
ROI.02 [],1,58.77799999999999,58.77799999999999,0.0,58.77799999999999,58.77799999999999
ROI.03 [],1,59.275000000000006,59.275000000000006,0.0,59.275000000000006,59.275000000000006
ROI.04 [],1,59.275000000000006,59.275000000000006,0.0,59.275000000000006,59.275000000000006
ROI.05 [],1,55.77699999999999,55.77699999999999,0.0,55.77699999999999,55.77699999999999
ROI.06 [],1,56.27699999999999,56.27699999999999,0.0,56.27699999999999,56.27699999999999
ROI.07 [],1,59.275000000000006,59.275000000000006,0.0,59.275000000000006,59.275000000000006
ROI.08 [],1,59.275000000000006,59.275000000000006,0.0,59.275000000000006,59.275000000000006
ROI.09 [],1,59.275000000000006,59.275000000000006,0.0,59.275000000000006,59.275000000000006
ROI.10 [],1,59.77699999999999,59.77699999999999,0.0,59.77699999999999,59.77699999999999
ROI.11 [],2,49.52550000000001,49.52550000000001,9.749499999999998,39.77600000000001,59.275000000000006
ROI.12 [],1,59.275000000000006,59.275000000000006,0.0,59.275000000000006,59.275000000000006
ROI.13 [],1,59.275000000000006,59.275000000000006,0.0,59.275000000000006,59.275000000000006
ROI.14 [],1,58.27799999999999,58.27799999999999,0.0,58.27799999999999,58.27799999999999
ROI.15 [],1,59.275000000000006,59.275000000000006,0.0,59.275000000000006,59.275000000000006
ROI.16 [],1,56.77600000000001,56.77600000000001,0.0,56.77600000000001,56.77600000000001
ROI.17 [],1,58.27799999999999,58.27799999999999,0.0,58.27799999999999,58.27799999999999
ROI.18 [],12,38.32116666666666,35.7855,13.467618280115047,21.787999999999997,64.27600000000001
ROI.19 [],1,59.275000000000006,59.275000000000006,0.0,59.275000000000006,59.275000000000006
