ROI,n_spikes,spike_times_s
ROI.08 [],7,51.277;82.276;108.277;131.776;183.277;193.777;200.776
ROI.01 [],3,49.276;95.776;133.777
ROI.04 [],3,38.276;95.776;146.276
ROI.05 [],3,48.276;101.276;143.277
ROI.03 [],3,49.276;95.776;133.777
ROI.02 [],3,50.276;98.777;144.277
ROI.06 [],3,49.276;95.776;133.777
ROI.07 [],3,36.277;98.278;141.777
ROI.09 [],3,49.276;98.777;141.777
ROI.10 [],3,50.276;95.776;144.277
ROI.11 [],3,49.276;99.777;131.776
ROI.12 [],3,49.276;98.777;143.277
ROI.13 [],3,50.276;99.777;141.777
ROI.14 [],3,43.280;99.777;131.776
