ROI,n_latencies,mean_latency_s,median_latency_s,std_latency_s,min_latency_s,max_latency_s
ROI.E [],2,22.277500000000003,22.277500000000003,10.000500000000002,12.277000000000001,32.278000000000006
ROI.09 [],2,22.031,22.031,10.753999999999998,11.277000000000001,32.785
ROI.10 [],2,22.0265,22.0265,11.249499999999998,10.777000000000001,33.275999999999996
ROI.11 [],2,20.787,20.787,10.490000000000002,10.296999999999997,31.277
ROI.12 [],2,22.033,22.033,10.245000000000005,11.787999999999997,32.278000000000006
ROI.13 [],1,10.296999999999997,10.296999999999997,0.0,10.296999999999997,10.296999999999997
ROI.14 [],1,12.277000000000001,12.277000000000001,0.0,12.277000000000001,12.277000000000001
ROI.16 [],3,22.114666666666665,20.27799999999999,8.46361062956519,12.79,33.275999999999996
ROI.17 [],2,23.535,23.535,10.745000000000001,12.79,34.28
ROI.18 [],2,23.027500000000003,23.027500000000003,10.750500000000002,12.277000000000001,33.778000000000006
ROI.19 [],2,23.537999999999997,23.537999999999997,11.75,11.787999999999997,35.288
ROI.20 [],2,22.2835,22.2835,9.493500000000001,12.79,31.777
ROI.21 [],2,21.277,21.277,10.0,11.277000000000001,31.277
