Parameter,Replicate,ROI,spike_time_s
10,1,1,86.277
10,1,1,140.776
10,1,1,183.778
10,1,2,90.778
10,1,2,140.776
10,1,2,189.777
10,1,3,86.277
10,1,3,140.776
10,1,3,183.778
10,1,4,86.277
10,1,4,133.277
10,1,4,185.278
10,1,5,87.278
10,1,5,133.277
10,1,5,185.278
10,1,6,87.278
10,1,6,135.777
10,1,6,183.778
10,1,7,85.277
10,1,7,133.277
10,1,7,183.778
10,1,8,41.276
10,1,8,88.778
10,1,8,140.776
10,1,8,186.276
10,1,9,90.279
10,1,9,140.776
10,1,9,186.276
10,1,10,41.276
10,1,10,88.778
10,1,10,140.776
10,1,10,186.276
10,1,11,90.279
10,1,11,140.776
10,1,11,185.278
10,1,12,87.278
10,1,12,133.277
10,1,12,185.278
10,1,13,90.778
10,1,13,140.776
10,1,13,184.778
10,2,1,41.277
10,2,1,88.777
10,2,1,140.776
10,2,1,186.777
10,2,2,41.277
10,2,2,86.275
10,2,2,140.277
10,2,2,189.276
10,2,3,41.277
10,2,3,88.777
10,2,3,140.776
10,2,3,186.777
10,2,4,40.777
10,2,4,88.777
10,2,4,140.277
10,2,4,186.777
10,2,5,41.277
10,2,5,87.778
10,2,5,140.277
10,2,5,187.277
10,2,6,41.277
10,2,6,86.275
10,2,6,140.277
10,2,6,189.276
10,2,7,41.277
10,2,7,83.777
10,2,7,135.275
10,2,7,189.276
10,2,8,88.777
10,2,8,135.275
10,2,8,189.276
10,2,9,41.277
10,2,9,86.275
10,2,9,135.275
10,2,9,189.276
10,2,10,88.777
10,2,10,135.275
10,2,10,189.276
10,2,11,88.777
10,2,11,140.776
10,2,11,183.276
10,2,12,41.277
10,2,12,86.275
10,2,12,140.277
10,2,12,189.276
10,2,13,86.275
10,2,13,135.275
10,2,13,189.276
10,3,1,89.276
10,3,1,137.277
10,3,1,191.277
10,3,2,86.778
10,3,2,132.277
10,3,2,191.277
10,3,3,88.277
10,3,3,137.277
10,3,3,185.776
10,3,4,89.276
10,3,4,132.277
10,3,4,191.277
10,3,5,89.276
10,3,5,141.275
10,3,5,185.276
10,3,6,89.276
10,3,6,141.275
10,3,6,185.776
10,3,7,89.276
10,3,7,141.275
10,3,7,185.776
10,3,8,90.278
10,3,8,140.277
10,3,8,185.276
10,3,9,89.276
10,3,9,141.275
10,3,9,185.276
10,3,10,85.777
10,3,10,140.277
10,3,10,185.776
10,3,11,86.778
10,3,11,132.277
10,3,11,190.278
10,3,12,89.276
10,3,12,141.275
10,3,12,185.276
10,3,13,88.778
10,3,13,141.275
10,3,13,185.276
20,1,1,100.288
20,1,2,100.288
20,1,3,100.288
20,1,4,100.288
20,1,5,100.288
20,1,5,195.287
20,1,7,50.279
20,1,10,100.288
20,1,11,100.288
20,1,12,100.288
20,2,1,151.278
20,2,5,151.278
20,2,7,151.278
20,2,10,50.784
20,2,11,151.278
20,2,12,51.285
20,2,12,151.278
20,3,1,151.276
20,3,2,150.288
20,3,3,151.276
20,3,4,151.276
20,3,5,151.276
20,3,9,101.277
20,3,11,151.276
20,3,12,150.777
Ctrl,2,1,150.279
Ctrl,2,2,151.278
Ctrl,2,3,151.278
Ctrl,2,4,151.278
Ctrl,2,5,151.278
Ctrl,2,6,151.278
Ctrl,2,13,100.278
Ctrl,2,13,151.278
