ROI,n_spikes,spike_times_s
ROI.21 [],4,30.278;65.277;83.778;100.278
ROI.06 [],1,129.277
ROI.08 [],1,103.786
ROI.14 [],1,101.277
ROI.02 [],1,105.776
ROI.03 [],1,103.786
