Frame,Mean
0,1.85979
1,1.74287
2,1.52289
3,1.62916
4,1.48092
5,1.48028
6,1.63420
7,1.56705
8,1.59489
9,1.71837
10,1.56298
11,1.41235
12,0.65714
13,0.68445
14,0.62137
15,0.64015
16,0.63618
17,0.60266
18,0.55368
19,0.53479
20,0.49369
21,0.42346
22,0.48134
23,0.47199
24,0.38390
25,0.39502
26,0.38002
27,0.44698
28,0.37593
29,0.32918
30,0.36923
31,0.31118
32,0.33225
33,0.33892
34,0.23953
35,0.35654
36,0.28193
37,0.31377
38,0.24572
39,0.09233
40,0.13183
41,0.10719
42,0.03873
43,0.03753
44,-0.01149
45,-0.03130
46,0.02400
47,-0.08353
48,0.03200
49,0.01771
50,0.10092
51,-0.09858
52,0.01501
53,0.00450
54,-0.00250
55,-0.02789
56,-0.18104
57,0.02239
58,-0.06544
59,-0.12239
