ROI,n_spikes,spike_times_s
ROI.01 [],6,30.286;53.279;80.786;108.276;124.276;153.276
ROI.02 [],6,25.276;56.275;81.280;108.276;128.277;151.777
ROI.03 [],6,25.778;53.279;79.278;104.777;124.276;153.276
ROI.05 [],6,28.277;57.277;74.785;103.782;129.276;153.777
ROI.17 [],6,31.284;57.277;81.280;109.286;123.777;151.777
ROI.14 [],6,30.779;57.776;79.278;108.276;129.777;160.279
ROI.15 [],6,30.779;57.277;80.786;109.286;126.779;161.275
ROI.16 [],6,30.779;57.277;79.278;108.276;120.776;160.279
ROI.11 [],6,30.779;58.276;76.776;108.276;129.777;151.777
ROI.22 [],6,25.276;57.277;81.280;106.775;130.775;160.781
ROI.25 [],6,30.779;56.275;74.276;109.286;123.777;157.776
ROI.21 [],6,29.283;58.276;75.781;111.778;130.277;151.777
ROI.18 [],6,24.781;57.277;80.786;108.276;130.277;151.777
ROI.04 [],5,19.286;32.793;63.286;119.776;151.777
ROI.13 [],5,31.284;71.276;108.276;129.777;158.275
ROI.06 [],5,19.286;32.793;63.286;113.777;163.275
ROI.07 [],4,19.774;64.277;114.275;163.782
ROI.19 [],4,19.286;64.277;114.275;163.782
ROI.08 [],4,19.774;63.286;113.777;160.279
ROI.10 [],3,48.776;84.777;138.775
ROI.12 [],3,51.276;93.276;141.776
ROI.23 [],3,37.786;86.276;147.776
ROI.20 [],3,43.276;84.777;141.776
ROI.24 [],3,48.776;93.276;134.277
ROI.09 [],1,21.276
